Date,Visitor,G,Home,G,,Att.,LOG,Notes
1992-04-18,St. Louis Blues,1,Chicago Blackhawks,3,,,,
1992-04-18,Minnesota North Stars,4,Detroit Red Wings,3,,,,
1992-04-18,Edmonton Oilers,3,Los Angeles Kings,1,,,,
1992-04-18,Winnipeg Jets,3,Vancouver Canucks,2,,,,
1992-04-19,Buffalo Sabres,3,Boston Bruins,2,,,,
1992-04-19,Hartford Whalers,0,Montreal Canadiens,2,,,,
1992-04-19,New Jersey Devils,1,New York Rangers,2,,,,
1992-04-19,Pittsburgh Penguins,1,Washington Capitals,3,,,,
1992-04-20,St. Louis Blues,5,Chicago Blackhawks,3,,,,
1992-04-20,Minnesota North Stars,4,Detroit Red Wings,2,,,,
1992-04-20,Edmonton Oilers,5,Los Angeles Kings,8,,,,
1992-04-20,Winnipeg Jets,2,Vancouver Canucks,3,,,,
1992-04-21,Buffalo Sabres,2,Boston Bruins,3,OT,,,
1992-04-21,Hartford Whalers,2,Montreal Canadiens,5,,,,
1992-04-21,New Jersey Devils,7,New York Rangers,3,,,,
1992-04-21,Pittsburgh Penguins,2,Washington Capitals,6,,,,
1992-04-22,Los Angeles Kings,3,Edmonton Oilers,4,,,,
1992-04-22,Detroit Red Wings,5,Minnesota North Stars,4,OT,,,
1992-04-22,Chicago Blackhawks,4,St. Louis Blues,5,2OT,,,
1992-04-22,Vancouver Canucks,2,Winnipeg Jets,4,,,,
1992-04-23,Boston Bruins,3,Buffalo Sabres,2,,,,
1992-04-23,Montreal Canadiens,2,Hartford Whalers,5,,,,
1992-04-23,New York Rangers,1,New Jersey Devils,3,,,,
1992-04-23,Washington Capitals,4,Pittsburgh Penguins,6,,,,
1992-04-24,Los Angeles Kings,4,Edmonton Oilers,3,,,,
1992-04-24,Detroit Red Wings,4,Minnesota North Stars,5,,,,
1992-04-24,Chicago Blackhawks,5,St. Louis Blues,3,,,,
1992-04-24,Vancouver Canucks,1,Winnipeg Jets,3,,,,
1992-04-25,Boston Bruins,5,Buffalo Sabres,4,OT,,,
1992-04-25,Montreal Canadiens,1,Hartford Whalers,3,,,,
1992-04-25,New York Rangers,3,New Jersey Devils,0,,,,
1992-04-25,Washington Capitals,7,Pittsburgh Penguins,2,,,,
1992-04-26,St. Louis Blues,4,Chicago Blackhawks,6,,,,
1992-04-26,Minnesota North Stars,0,Detroit Red Wings,3,,,,
1992-04-26,Edmonton Oilers,5,Los Angeles Kings,2,,,,
1992-04-26,Winnipeg Jets,2,Vancouver Canucks,8,,,,
1992-04-27,Buffalo Sabres,2,Boston Bruins,0,,,,
1992-04-27,Hartford Whalers,4,Montreal Canadiens,7,,,,
1992-04-27,New Jersey Devils,5,New York Rangers,8,,,,
1992-04-27,Pittsburgh Penguins,5,Washington Capitals,2,,,,
1992-04-28,Los Angeles Kings,0,Edmonton Oilers,3,,,,
1992-04-28,Detroit Red Wings,1,Minnesota North Stars,0,OT,,,
1992-04-28,Chicago Blackhawks,2,St. Louis Blues,1,,,,
1992-04-28,Vancouver Canucks,8,Winnipeg Jets,3,,,,
1992-04-29,Boston Bruins,3,Buffalo Sabres,9,,,,
1992-04-29,Montreal Canadiens,1,Hartford Whalers,2,OT,,,
1992-04-29,New York Rangers,3,New Jersey Devils,5,,,,
1992-04-29,Washington Capitals,4,Pittsburgh Penguins,6,,,,
1992-04-30,Minnesota North Stars,2,Detroit Red Wings,5,,,,
1992-04-30,Winnipeg Jets,0,Vancouver Canucks,5,,,,
1992-05-01,Buffalo Sabres,2,Boston Bruins,3,,,,
1992-05-01,Hartford Whalers,2,Montreal Canadiens,3,2OT,,,
1992-05-01,New Jersey Devils,4,New York Rangers,8,,,,
1992-05-01,Pittsburgh Penguins,3,Washington Capitals,1,,,,
1992-05-02,Chicago Blackhawks,2,Detroit Red Wings,1,,,,
1992-05-03,Boston Bruins,6,Montreal Canadiens,4,,,,
1992-05-03,Pittsburgh Penguins,4,New York Rangers,2,,,,
1992-05-03,Edmonton Oilers,4,Vancouver Canucks,3,OT,,,
1992-05-04,Chicago Blackhawks,3,Detroit Red Wings,1,,,,
1992-05-04,Edmonton Oilers,0,Vancouver Canucks,4,,,,
1992-05-05,Boston Bruins,3,Montreal Canadiens,2,OT,,,
1992-05-05,Pittsburgh Penguins,2,New York Rangers,4,,,,
1992-05-06,Detroit Red Wings,4,Chicago Blackhawks,5,,,,
1992-05-06,Vancouver Canucks,2,Edmonton Oilers,5,,,,
1992-05-07,Montreal Canadiens,2,Boston Bruins,3,,,,
1992-05-07,New York Rangers,6,Pittsburgh Penguins,5,OT,,,
1992-05-08,Detroit Red Wings,0,Chicago Blackhawks,1,,,,
1992-05-08,Vancouver Canucks,2,Edmonton Oilers,3,,,,
1992-05-09,Montreal Canadiens,0,Boston Bruins,2,,,,
1992-05-09,New York Rangers,4,Pittsburgh Penguins,5,OT,,,
1992-05-10,Edmonton Oilers,3,Vancouver Canucks,4,,,,
1992-05-11,Pittsburgh Penguins,3,New York Rangers,2,,,,
1992-05-12,Vancouver Canucks,0,Edmonton Oilers,3,,,,
1992-05-13,New York Rangers,1,Pittsburgh Penguins,5,,,,
1992-05-16,Edmonton Oilers,2,Chicago Blackhawks,8,,,,
1992-05-17,Boston Bruins,3,Pittsburgh Penguins,4,OT,,,
1992-05-18,Edmonton Oilers,2,Chicago Blackhawks,4,,,,
1992-05-19,Boston Bruins,2,Pittsburgh Penguins,5,,,,
1992-05-20,Chicago Blackhawks,4,Edmonton Oilers,3,OT,,,
1992-05-21,Pittsburgh Penguins,5,Boston Bruins,1,,,,
1992-05-22,Chicago Blackhawks,5,Edmonton Oilers,1,,,,
1992-05-23,Pittsburgh Penguins,5,Boston Bruins,1,,,,
1992-05-26,Chicago Blackhawks,4,Pittsburgh Penguins,5,,,,
1992-05-28,Chicago Blackhawks,1,Pittsburgh Penguins,3,,,,
1992-05-30,Pittsburgh Penguins,1,Chicago Blackhawks,0,,,,
1992-06-01,Pittsburgh Penguins,6,Chicago Blackhawks,5,,,,
