Date,Visitor,G,Home,G,,Att.,LOG,Notes
1990-10-04,Philadelphia Flyers,1,Boston Bruins,4,,,,
1990-10-04,Montreal Canadiens,3,Buffalo Sabres,3,OT,,,
1990-10-04,Vancouver Canucks,2,Calgary Flames,3,OT,,,
1990-10-04,New York Rangers,3,Chicago Blackhawks,4,,,,
1990-10-04,Quebec Nordiques,3,Hartford Whalers,3,OT,,,
1990-10-04,New York Islanders,1,Los Angeles Kings,4,,,,
1990-10-04,St. Louis Blues,3,Minnesota North Stars,2,,,,
1990-10-04,Detroit Red Wings,3,New Jersey Devils,3,OT,,,
1990-10-04,Toronto Maple Leafs,1,Winnipeg Jets,7,,,,
1990-10-05,Pittsburgh Penguins,7,Washington Capitals,4,,,,
1990-10-06,Quebec Nordiques,1,Boston Bruins,7,,,,
1990-10-06,Toronto Maple Leafs,1,Calgary Flames,4,,,,
1990-10-06,Winnipeg Jets,3,Edmonton Oilers,3,OT,,,
1990-10-06,New York Rangers,4,Hartford Whalers,5,,,,
1990-10-06,Vancouver Canucks,6,Los Angeles Kings,3,,,,
1990-10-06,New York Islanders,2,Minnesota North Stars,4,,,,
1990-10-06,Buffalo Sabres,5,Montreal Canadiens,6,,,,
1990-10-06,Philadelphia Flyers,1,New Jersey Devils,3,,,,
1990-10-06,Chicago Blackhawks,5,St. Louis Blues,2,,,,
1990-10-06,Detroit Red Wings,4,Washington Capitals,6,,,,
1990-10-07,New York Islanders,4,Chicago Blackhawks,2,,,,
1990-10-07,Toronto Maple Leafs,2,Edmonton Oilers,3,,,,
1990-10-07,Detroit Red Wings,2,Philadelphia Flyers,7,,,,
1990-10-07,New Jersey Devils,4,Pittsburgh Penguins,7,,,,
1990-10-07,Boston Bruins,5,Quebec Nordiques,2,,,,
1990-10-08,Hartford Whalers,3,Montreal Canadiens,5,,,,
1990-10-08,Minnesota North Stars,3,New York Rangers,6,,,,
1990-10-08,Calgary Flames,4,Winnipeg Jets,3,,,,
1990-10-09,Minnesota North Stars,2,New Jersey Devils,5,,,,
1990-10-09,Pittsburgh Penguins,3,St. Louis Blues,4,,,,
1990-10-09,Los Angeles Kings,6,Vancouver Canucks,2,,,,
1990-10-10,Calgary Flames,5,Detroit Red Wings,6,OT,,,
1990-10-10,Buffalo Sabres,3,Hartford Whalers,4,,,,
1990-10-10,Washington Capitals,2,New York Rangers,4,,,,
1990-10-10,Quebec Nordiques,8,Toronto Maple Leafs,5,,,,
1990-10-10,Boston Bruins,4,Winnipeg Jets,2,,,,
1990-10-11,Pittsburgh Penguins,1,Chicago Blackhawks,4,,,,
1990-10-11,Edmonton Oilers,5,Los Angeles Kings,5,OT,,,
1990-10-11,Boston Bruins,3,Minnesota North Stars,3,OT,,,
1990-10-11,New Jersey Devils,4,Philadelphia Flyers,7,,,,
1990-10-12,Quebec Nordiques,4,Buffalo Sabres,2,,,,
1990-10-12,Hartford Whalers,2,Detroit Red Wings,4,,,,
1990-10-12,Montreal Canadiens,0,New York Rangers,3,,,,
1990-10-12,St. Louis Blues,0,Vancouver Canucks,4,,,,
1990-10-12,Winnipeg Jets,1,Washington Capitals,3,,,,
1990-10-13,Montreal Canadiens,2,Hartford Whalers,5,,,,
1990-10-13,Boston Bruins,1,Los Angeles Kings,7,,,,
1990-10-13,Chicago Blackhawks,4,Minnesota North Stars,1,,,,
1990-10-13,Calgary Flames,3,New Jersey Devils,5,,,,
1990-10-13,Pittsburgh Penguins,6,New York Islanders,4,,,,
1990-10-13,Winnipeg Jets,3,Philadelphia Flyers,4,,,,
1990-10-13,Buffalo Sabres,4,Quebec Nordiques,4,OT,,,
1990-10-13,Detroit Red Wings,3,Toronto Maple Leafs,3,OT,,,
1990-10-13,New York Rangers,5,Washington Capitals,2,,,,
1990-10-14,Calgary Flames,3,Chicago Blackhawks,1,,,,
1990-10-14,St. Louis Blues,1,Los Angeles Kings,4,,,,
1990-10-14,Edmonton Oilers,4,Vancouver Canucks,5,OT,,,
1990-10-15,Washington Capitals,1,Montreal Canadiens,3,,,,
1990-10-16,Chicago Blackhawks,2,Detroit Red Wings,3,,,,
