Date,Visitor,G,Home,G,,Att.,LOG,Notes
1995-10-06,Detroit Red Wings,2,Colorado Avalanche,3,,,,
1995-10-07,New York Islanders,4,Boston Bruins,4,OT,,,
1995-10-07,New York Rangers,0,Hartford Whalers,2,,,,
1995-10-07,Colorado Avalanche,2,Los Angeles Kings,4,,,,
1995-10-07,Philadelphia Flyers,7,Montreal Canadiens,1,,,,
1995-10-07,Florida Panthers,0,New Jersey Devils,4,,,,
1995-10-07,Buffalo Sabres,3,Ottawa Senators,1,,,,
1995-10-07,Toronto Maple Leafs,3,Pittsburgh Penguins,8,,,,
1995-10-07,Chicago Blackhawks,4,San Jose Sharks,3,,,,
1995-10-07,Calgary Flames,3,Tampa Bay Lightning,3,OT,,,
1995-10-07,Dallas Stars,5,Winnipeg Jets,7,,,,
1995-10-07,St. Louis Blues,1,Washington Capitals,4,,,,
1995-10-08,Detroit Red Wings,3,Edmonton Oilers,1,,,,
1995-10-08,Calgary Flames,3,Florida Panthers,4,,,,
1995-10-09,Buffalo Sabres,3,Boston Bruins,5,,,,
1995-10-09,Pittsburgh Penguins,6,Colorado Avalanche,6,OT,,,
1995-10-09,Detroit Red Wings,5,Vancouver Canucks,3,,,,
1995-10-09,Mighty Ducks of Anaheim,3,Winnipeg Jets,4,,,,
1995-10-10,Calgary Flames,3,Dallas Stars,7,,,,
1995-10-10,Chicago Blackhawks,5,Los Angeles Kings,6,OT,,,
1995-10-10,Edmonton Oilers,3,St. Louis Blues,5,,,,
1995-10-10,New York Islanders,3,Toronto Maple Leafs,7,,,,
1995-10-11,Boston Bruins,1,Colorado Avalanche,3,,,,
1995-10-11,Montreal Canadiens,1,Florida Panthers,6,,,,
1995-10-11,Mighty Ducks of Anaheim,2,Hartford Whalers,3,,,,
1995-10-11,Winnipeg Jets,4,New York Rangers,6,,,,
1995-10-11,Washington Capitals,1,Philadelphia Flyers,2,,,,
1995-10-12,Pittsburgh Penguins,1,Chicago Blackhawks,5,,,,
1995-10-12,St. Louis Blues,3,Dallas Stars,1,,,,
1995-10-12,Vancouver Canucks,7,Los Angeles Kings,7,OT,,,
1995-10-12,Winnipeg Jets,1,New Jersey Devils,4,,,,
1995-10-12,Boston Bruins,6,San Jose Sharks,6,OT,,,
1995-10-12,Montreal Canadiens,1,Tampa Bay Lightning,3,,,,
1995-10-13,Mighty Ducks of Anaheim,4,Buffalo Sabres,1,,,,
1995-10-13,Edmonton Oilers,0,Detroit Red Wings,9,,,,
1995-10-13,Ottawa Senators,2,Florida Panthers,6,,,,
1995-10-13,Colorado Avalanche,1,Washington Capitals,3,,,,
1995-10-14,Boston Bruins,5,Dallas Stars,6,,,,
1995-10-14,Chicago Blackhawks,2,Hartford Whalers,3,,,,
1995-10-14,New Jersey Devils,4,Montreal Canadiens,1,,,,
1995-10-14,Philadelphia Flyers,3,New York Islanders,0,,,,
1995-10-14,Mighty Ducks of Anaheim,2,Pittsburgh Penguins,5,,,,
1995-10-14,Vancouver Canucks,7,San Jose Sharks,6,,,,
1995-10-14,Colorado Avalanche,1,St. Louis Blues,4,,,,
1995-10-14,New York Rangers,2,Toronto Maple Leafs,0,,,,
1995-10-14,Tampa Bay Lightning,0,Washington Capitals,2,,,,
1995-10-15,New Jersey Devils,4,Buffalo Sabres,3,,,,
1995-10-15,Calgary Flames,1,Chicago Blackhawks,1,OT,,,
1995-10-15,New York Islanders,3,Florida Panthers,5,,,,
1995-10-15,Edmonton Oilers,1,Philadelphia Flyers,7,,,,
1995-10-15,Ottawa Senators,7,Tampa Bay Lightning,4,,,,
1995-10-15,Los Angeles Kings,3,Vancouver Canucks,3,OT,,,
1995-10-15,Detroit Red Wings,5,Winnipeg Jets,5,OT,,,
1995-10-16,Hartford Whalers,7,New York Rangers,5,,,,
1995-10-17,Washington Capitals,4,Dallas Stars,3,,,,
1995-10-17,Calgary Flames,3,Detroit Red Wings,3,OT,,,
1995-10-17,Chicago Blackhawks,6,Florida Panthers,3,,,,
1995-10-17,Edmonton Oilers,3,New Jersey Devils,1,,,,
1995-10-17,New York Rangers,5,New York Islanders,1,,,,
1995-10-17,Boston Bruins,7,St. Louis Blues,4,,,,
1995-10-17,San Jose Sharks,2,Toronto Maple Leafs,7,,,,
1995-10-17,Tampa Bay Lightning,2,Winnipeg Jets,5,,,,
1995-10-18,Edmonton Oilers,1,Buffalo Sabres,4,,,,
1995-10-18,Washington Capitals,2,Colorado Avalanche,4,,,,
1995-10-18,Philadelphia Flyers,1,Los Angeles Kings,1,OT,,,
1995-10-18,Vancouver Canucks,5,Mighty Ducks of Anaheim,1,,,,
1995-10-19,Tampa Bay Lightning,4,Chicago Blackhawks,1,,,,
1995-10-19,Detroit Red Wings,2,New Jersey Devils,4,,,,
1995-10-19,Calgary Flames,2,Ottawa Senators,4,,,,
1995-10-19,Dallas Stars,1,St. Louis Blues,1,OT,,,
1995-10-19,San Jose Sharks,3,Winnipeg Jets,3,OT,,,
1995-10-20,New York Rangers,3,Buffalo Sabres,1,,,,
1995-10-20,Pittsburgh Penguins,2,Hartford Whalers,2,OT,,,
1995-10-20,Philadelphia Flyers,4,Mighty Ducks of Anaheim,2,,,,
1995-10-20,Montreal Canadiens,0,New York Islanders,2,,,,
1995-10-20,Calgary Flames,3,Toronto Maple Leafs,4,OT,,,
1995-10-20,Los Angeles Kings,7,Washington Capitals,4,,,,
1995-10-21,Tampa Bay Lightning,3,Dallas Stars,3,OT,,,
1995-10-21,Boston Bruins,2,Detroit Red Wings,4,,,,
1995-10-21,Vancouver Canucks,4,Edmonton Oilers,6,,,,
1995-10-21,Hartford Whalers,0,Florida Panthers,3,,,,
1995-10-21,Toronto Maple Leafs,3,Montreal Canadiens,4,,,,
1995-10-21,Ottawa Senators,1,New Jersey Devils,4,,,,
1995-10-21,Los Angeles Kings,3,Pittsburgh Penguins,2,OT,,,
1995-10-21,Chicago Blackhawks,4,St. Louis Blues,1,,,,
1995-10-22,St. Louis Blues,2,Buffalo Sabres,5,,,,
1995-10-22,Philadelphia Flyers,4,Chicago Blackhawks,5,,,,
1995-10-22,San Jose Sharks,1,Edmonton Oilers,1,OT,,,
1995-10-22,Winnipeg Jets,2,Mighty Ducks of Anaheim,6,,,,
1995-10-22,Ottawa Senators,4,New York Rangers,2,,,,
1995-10-23,Mighty Ducks of Anaheim,1,Colorado Avalanche,3,,,,
1995-10-23,Los Angeles Kings,3,Montreal Canadiens,6,,,,
1995-10-24,Buffalo Sabres,0,Dallas Stars,3,,,,
1995-10-24,Ottawa Senators,2,Detroit Red Wings,1,,,,
1995-10-24,Vancouver Canucks,2,New York Rangers,5,,,,
1995-10-24,Florida Panthers,6,Toronto Maple Leafs,1,,,,
1995-10-25,Colorado Avalanche,3,Calgary Flames,2,,,,
1995-10-25,St. Louis Blues,4,Hartford Whalers,2,,,,
1995-10-25,Florida Panthers,2,Montreal Canadiens,7,,,,
1995-10-25,Vancouver Canucks,4,New Jersey Devils,2,,,,
1995-10-25,New York Islanders,1,Philadelphia Flyers,3,,,,
1995-10-25,Winnipeg Jets,6,San Jose Sharks,1,,,,
1995-10-26,Washington Capitals,4,Boston Bruins,2,,,,
1995-10-26,Toronto Maple Leafs,2,Chicago Blackhawks,1,,,,
1995-10-26,Mighty Ducks of Anaheim,2,Dallas Stars,5,,,,
1995-10-26,Pittsburgh Penguins,7,New York Islanders,5,,,,
1995-10-26,Los Angeles Kings,4,Ottawa Senators,5,,,,
1995-10-26,New York Rangers,4,Tampa Bay Lightning,4,OT,,,
1995-10-27,Detroit Red Wings,3,Calgary Flames,0,,,,
1995-10-27,Buffalo Sabres,4,Colorado Avalanche,5,,,,
1995-10-27,Winnipeg Jets,5,Edmonton Oilers,7,,,,
1995-10-27,Montreal Canadiens,4,Hartford Whalers,1,,,,
1995-10-27,Mighty Ducks of Anaheim,2,St. Louis Blues,4,,,,
1995-10-28,Hartford Whalers,0,Boston Bruins,3,,,,
1995-10-28,Chicago Blackhawks,3,Montreal Canadiens,5,,,,
1995-10-28,Pittsburgh Penguins,5,New Jersey Devils,3,,,,
1995-10-28,Philadelphia Flyers,5,New York Islanders,5,OT,,,
1995-10-28,Florida Panthers,4,Ottawa Senators,1,,,,
1995-10-28,Dallas Stars,4,San Jose Sharks,3,,,,
1995-10-28,Washington Capitals,4,Tampa Bay Lightning,2,,,,
1995-10-28,Los Angeles Kings,2,Toronto Maple Leafs,2,OT,,,
1995-10-28,Winnipeg Jets,4,Vancouver Canucks,1,,,,
1995-10-29,Buffalo Sabres,3,Chicago Blackhawks,6,,,,
1995-10-29,Calgary Flames,2,Mighty Ducks of Anaheim,7,,,,
1995-10-29,Toronto Maple Leafs,2,New York Rangers,3,,,,
1995-10-29,Ottawa Senators,2,Philadelphia Flyers,5,,,,
