Date,Visitor,G,Home,G,,Att.,LOG,Notes
2012-04-11,Detroit Red Wings,2,Nashville Predators,3,,,,
2012-04-11,Philadelphia Flyers,4,Pittsburgh Penguins,3,OT,,,
2012-04-11,Los Angeles Kings,4,Vancouver Canucks,2,,,,
2012-04-12,Washington Capitals,0,Boston Bruins,1,OT,,,
2012-04-12,Ottawa Senators,2,New York Rangers,4,,,,
2012-04-12,Chicago Blackhawks,2,Phoenix Coyotes,3,OT,,,
2012-04-12,San Jose Sharks,3,St. Louis Blues,2,2OT,,,
2012-04-13,New Jersey Devils,3,Florida Panthers,2,,,,
2012-04-13,Detroit Red Wings,3,Nashville Predators,2,,,,
2012-04-13,Philadelphia Flyers,8,Pittsburgh Penguins,5,,,,
2012-04-13,Los Angeles Kings,4,Vancouver Canucks,2,,,,
2012-04-14,Washington Capitals,2,Boston Bruins,1,2OT,,,
2012-04-14,Ottawa Senators,3,New York Rangers,2,OT,,,
2012-04-14,Chicago Blackhawks,4,Phoenix Coyotes,3,OT,,,
2012-04-14,San Jose Sharks,0,St. Louis Blues,3,,,,
2012-04-15,Nashville Predators,3,Detroit Red Wings,2,,,,
2012-04-15,New Jersey Devils,2,Florida Panthers,4,,,,
2012-04-15,Vancouver Canucks,0,Los Angeles Kings,1,,,,
2012-04-15,Pittsburgh Penguins,4,Philadelphia Flyers,8,,,,
2012-04-16,New York Rangers,1,Ottawa Senators,0,,,,
2012-04-16,St. Louis Blues,4,San Jose Sharks,3,,,,
2012-04-16,Boston Bruins,4,Washington Capitals,3,,,,
2012-04-17,Phoenix Coyotes,3,Chicago Blackhawks,2,OT,,,
2012-04-17,Nashville Predators,3,Detroit Red Wings,1,,,,
2012-04-17,Florida Panthers,4,New Jersey Devils,3,,,,
2012-04-18,Vancouver Canucks,3,Los Angeles Kings,1,,,,
2012-04-18,New York Rangers,2,Ottawa Senators,3,OT,,,
2012-04-18,Pittsburgh Penguins,10,Philadelphia Flyers,3,,,,
