Date,Visitor,G,Home,G,,Att.,LOG,Notes
2006-04-21,Mighty Ducks of Anaheim,1,Calgary Flames,2,OT,,,
2006-04-21,Edmonton Oilers,2,Detroit Red Wings,3,2OT,,,
2006-04-21,San Jose Sharks,3,Nashville Predators,4,,,,
2006-04-21,Tampa Bay Lightning,1,Ottawa Senators,4,,,,
2006-04-22,Philadelphia Flyers,2,Buffalo Sabres,3,2OT,,,
2006-04-22,Montreal Canadiens,6,Carolina Hurricanes,1,,,,
2006-04-22,Colorado Avalanche,5,Dallas Stars,2,,,,
2006-04-22,New York Rangers,1,New Jersey Devils,6,,,,
2006-04-23,Mighty Ducks of Anaheim,4,Calgary Flames,3,,,,
2006-04-23,Edmonton Oilers,4,Detroit Red Wings,2,,,,
2006-04-23,San Jose Sharks,3,Nashville Predators,0,,,,
2006-04-23,Tampa Bay Lightning,4,Ottawa Senators,3,,,,
2006-04-24,Philadelphia Flyers,2,Buffalo Sabres,8,,,,
2006-04-24,Montreal Canadiens,6,Carolina Hurricanes,5,2OT,,,
2006-04-24,Colorado Avalanche,5,Dallas Stars,4,OT,,,
2006-04-24,New York Rangers,1,New Jersey Devils,4,,,,
2006-04-25,Detroit Red Wings,3,Edmonton Oilers,4,2OT,,,
2006-04-25,Calgary Flames,5,Mighty Ducks of Anaheim,2,,,,
2006-04-25,Nashville Predators,1,San Jose Sharks,4,,,,
2006-04-25,Ottawa Senators,8,Tampa Bay Lightning,4,,,,
2006-04-26,Dallas Stars,3,Colorado Avalanche,4,OT,,,
2006-04-26,Carolina Hurricanes,2,Montreal Canadiens,1,OT,,,
2006-04-26,New Jersey Devils,3,New York Rangers,0,,,,
2006-04-26,Buffalo Sabres,2,Philadelphia Flyers,4,,,,
2006-04-27,Detroit Red Wings,4,Edmonton Oilers,2,,,,
2006-04-27,Calgary Flames,2,Mighty Ducks of Anaheim,3,OT,,,
2006-04-27,Nashville Predators,4,San Jose Sharks,5,,,,
2006-04-27,Ottawa Senators,5,Tampa Bay Lightning,2,,,,
2006-04-28,Dallas Stars,4,Colorado Avalanche,1,,,,
2006-04-28,Carolina Hurricanes,3,Montreal Canadiens,2,,,,
2006-04-28,Buffalo Sabres,4,Philadelphia Flyers,5,,,,
2006-04-29,Mighty Ducks of Anaheim,2,Calgary Flames,3,,,,
2006-04-29,Edmonton Oilers,3,Detroit Red Wings,2,,,,
2006-04-29,New Jersey Devils,4,New York Rangers,2,,,,
2006-04-29,Tampa Bay Lightning,2,Ottawa Senators,3,,,,
