Date,Visitor,G,Home,G,,Att.,LOG,Notes
1991-04-03,Hartford Whalers,5,Boston Bruins,2,,,,
1991-04-03,Buffalo Sabres,5,Montreal Canadiens,7,,,,
1991-04-03,Washington Capitals,1,New York Rangers,2,,,,
1991-04-03,New Jersey Devils,3,Pittsburgh Penguins,1,,,,
1991-04-04,Edmonton Oilers,3,Calgary Flames,1,,,,
1991-04-04,Minnesota North Stars,4,Chicago Blackhawks,3,OT,,,
1991-04-04,Vancouver Canucks,6,Los Angeles Kings,5,,,,
1991-04-04,Detroit Red Wings,6,St. Louis Blues,3,,,,
1991-04-05,Hartford Whalers,3,Boston Bruins,4,,,,
1991-04-05,Buffalo Sabres,4,Montreal Canadiens,5,,,,
1991-04-05,Washington Capitals,3,New York Rangers,0,,,,
1991-04-05,New Jersey Devils,4,Pittsburgh Penguins,5,OT,,,
1991-04-06,Edmonton Oilers,1,Calgary Flames,3,,,,
1991-04-06,Minnesota North Stars,2,Chicago Blackhawks,5,,,,
1991-04-06,Vancouver Canucks,2,Los Angeles Kings,3,OT,,,
1991-04-06,Detroit Red Wings,2,St. Louis Blues,4,,,,
1991-04-07,Montreal Canadiens,4,Buffalo Sabres,5,,,,
1991-04-07,Boston Bruins,6,Hartford Whalers,3,,,,
1991-04-07,Pittsburgh Penguins,4,New Jersey Devils,3,,,,
1991-04-07,New York Rangers,6,Washington Capitals,0,,,,
1991-04-08,St. Louis Blues,2,Detroit Red Wings,5,,,,
1991-04-08,Calgary Flames,3,Edmonton Oilers,4,,,,
1991-04-08,Chicago Blackhawks,6,Minnesota North Stars,5,,,,
1991-04-08,Los Angeles Kings,1,Vancouver Canucks,2,OT,,,
1991-04-09,Montreal Canadiens,4,Buffalo Sabres,6,,,,
1991-04-09,Boston Bruins,3,Hartford Whalers,4,,,,
1991-04-09,Pittsburgh Penguins,1,New Jersey Devils,4,,,,
1991-04-09,New York Rangers,2,Washington Capitals,3,,,,
1991-04-10,St. Louis Blues,3,Detroit Red Wings,4,,,,
1991-04-10,Calgary Flames,2,Edmonton Oilers,5,,,,
1991-04-10,Chicago Blackhawks,1,Minnesota North Stars,3,,,,
1991-04-10,Los Angeles Kings,6,Vancouver Canucks,1,,,,
1991-04-11,Hartford Whalers,1,Boston Bruins,6,,,,
1991-04-11,Buffalo Sabres,3,Montreal Canadiens,4,OT,,,
1991-04-11,Washington Capitals,5,New York Rangers,4,OT,,,
1991-04-11,New Jersey Devils,4,Pittsburgh Penguins,2,,,,
1991-04-12,Edmonton Oilers,3,Calgary Flames,5,,,,
1991-04-12,Minnesota North Stars,6,Chicago Blackhawks,0,,,,
1991-04-12,Vancouver Canucks,4,Los Angeles Kings,7,,,,
1991-04-12,Detroit Red Wings,1,St. Louis Blues,6,,,,
1991-04-13,Montreal Canadiens,5,Buffalo Sabres,1,,,,
1991-04-13,Boston Bruins,3,Hartford Whalers,1,,,,
1991-04-13,Pittsburgh Penguins,4,New Jersey Devils,3,,,,
1991-04-13,New York Rangers,2,Washington Capitals,4,,,,
1991-04-14,St. Louis Blues,3,Detroit Red Wings,0,,,,
1991-04-14,Calgary Flames,2,Edmonton Oilers,1,OT,,,
1991-04-14,Chicago Blackhawks,1,Minnesota North Stars,3,,,,
1991-04-14,Los Angeles Kings,4,Vancouver Canucks,1,,,,
1991-04-15,New Jersey Devils,0,Pittsburgh Penguins,4,,,,
1991-04-16,Edmonton Oilers,5,Calgary Flames,4,OT,,,
1991-04-16,Detroit Red Wings,2,St. Louis Blues,3,,,,
1991-04-17,Montreal Canadiens,1,Boston Bruins,2,,,,
1991-04-17,Washington Capitals,4,Pittsburgh Penguins,2,,,,
1991-04-18,Edmonton Oilers,3,Los Angeles Kings,4,OT,,,
1991-04-18,Minnesota North Stars,2,St. Louis Blues,1,,,,
1991-04-19,Montreal Canadiens,4,Boston Bruins,3,OT,,,
1991-04-19,Washington Capitals,6,Pittsburgh Penguins,7,OT,,,
1991-04-20,Edmonton Oilers,4,Los Angeles Kings,3,2OT,,,
1991-04-20,Minnesota North Stars,2,St. Louis Blues,5,,,,
1991-04-21,Boston Bruins,3,Montreal Canadiens,2,,,,
1991-04-21,Pittsburgh Penguins,3,Washington Capitals,1,,,,
1991-04-22,Los Angeles Kings,3,Edmonton Oilers,4,2OT,,,
1991-04-22,St. Louis Blues,1,Minnesota North Stars,5,,,,
1991-04-23,Boston Bruins,2,Montreal Canadiens,6,,,,
1991-04-23,Pittsburgh Penguins,3,Washington Capitals,1,,,,
1991-04-24,Los Angeles Kings,2,Edmonton Oilers,4,,,,
1991-04-24,St. Louis Blues,4,Minnesota North Stars,8,,,,
1991-04-25,Montreal Canadiens,1,Boston Bruins,4,,,,
1991-04-25,Washington Capitals,1,Pittsburgh Penguins,4,,,,
1991-04-26,Edmonton Oilers,2,Los Angeles Kings,5,,,,
1991-04-26,Minnesota North Stars,2,St. Louis Blues,4,,,,
1991-04-27,Boston Bruins,2,Montreal Canadiens,3,OT,,,
1991-04-28,Los Angeles Kings,3,Edmonton Oilers,4,OT,,,
1991-04-28,St. Louis Blues,2,Minnesota North Stars,3,,,,
1991-04-29,Montreal Canadiens,1,Boston Bruins,2,,,,
1991-05-01,Pittsburgh Penguins,3,Boston Bruins,6,,,,
1991-05-02,Minnesota North Stars,3,Edmonton Oilers,1,,,,
1991-05-03,Pittsburgh Penguins,4,Boston Bruins,5,OT,,,
1991-05-04,Minnesota North Stars,2,Edmonton Oilers,7,,,,
1991-05-05,Boston Bruins,1,Pittsburgh Penguins,4,,,,
1991-05-06,Edmonton Oilers,3,Minnesota North Stars,7,,,,
1991-05-07,Boston Bruins,1,Pittsburgh Penguins,4,,,,
1991-05-08,Edmonton Oilers,1,Minnesota North Stars,5,,,,
1991-05-09,Pittsburgh Penguins,7,Boston Bruins,2,,,,
1991-05-10,Minnesota North Stars,3,Edmonton Oilers,2,,,,
1991-05-11,Boston Bruins,3,Pittsburgh Penguins,5,,,,
1991-05-15,Minnesota North Stars,5,Pittsburgh Penguins,4,,,,
1991-05-17,Minnesota North Stars,1,Pittsburgh Penguins,4,,,,
1991-05-19,Pittsburgh Penguins,1,Minnesota North Stars,3,,,,
1991-05-21,Pittsburgh Penguins,5,Minnesota North Stars,3,,,,
1991-05-23,Minnesota North Stars,4,Pittsburgh Penguins,6,,,,
1991-05-25,Pittsburgh Penguins,8,Minnesota North Stars,0,,,,
