Date,Visitor,G,Home,G,,Att.,LOG,Notes
2010-04-14,Philadelphia Flyers,2,New Jersey Devils,1,,,,
2010-04-14,Detroit Red Wings,2,Phoenix Coyotes,3,,,,
2010-04-14,Ottawa Senators,5,Pittsburgh Penguins,4,,,,
2010-04-14,Colorado Avalanche,2,San Jose Sharks,1,,,,
2010-04-15,Boston Bruins,1,Buffalo Sabres,2,,,,
2010-04-15,Los Angeles Kings,2,Vancouver Canucks,3,OT,,,
2010-04-15,Montreal Canadiens,3,Washington Capitals,2,OT,,,
2010-04-16,Nashville Predators,4,Chicago Blackhawks,1,,,,
2010-04-16,Philadelphia Flyers,3,New Jersey Devils,5,,,,
2010-04-16,Detroit Red Wings,7,Phoenix Coyotes,4,,,,
2010-04-16,Ottawa Senators,1,Pittsburgh Penguins,2,,,,
2010-04-16,Colorado Avalanche,5,San Jose Sharks,6,OT,,,
2010-04-17,Boston Bruins,5,Buffalo Sabres,3,,,,
2010-04-17,Los Angeles Kings,3,Vancouver Canucks,2,OT,,,
2010-04-17,Montreal Canadiens,5,Washington Capitals,6,OT,,,
2010-04-18,Nashville Predators,0,Chicago Blackhawks,2,,,,
2010-04-18,San Jose Sharks,0,Colorado Avalanche,1,OT,,,
2010-04-18,Phoenix Coyotes,4,Detroit Red Wings,2,,,,
2010-04-18,Pittsburgh Penguins,4,Ottawa Senators,2,,,,
2010-04-18,New Jersey Devils,2,Philadelphia Flyers,3,OT,,,
2010-04-19,Buffalo Sabres,1,Boston Bruins,2,,,,
2010-04-19,Vancouver Canucks,3,Los Angeles Kings,5,,,,
2010-04-19,Washington Capitals,5,Montreal Canadiens,1,,,,
2010-04-20,San Jose Sharks,2,Colorado Avalanche,1,OT,,,
2010-04-20,Phoenix Coyotes,0,Detroit Red Wings,3,,,,
2010-04-20,Chicago Blackhawks,1,Nashville Predators,4,,,,
2010-04-20,Pittsburgh Penguins,7,Ottawa Senators,4,,,,
2010-04-20,New Jersey Devils,1,Philadelphia Flyers,4,,,,
2010-04-21,Buffalo Sabres,2,Boston Bruins,3,2OT,,,
2010-04-21,Vancouver Canucks,6,Los Angeles Kings,4,,,,
2010-04-21,Washington Capitals,6,Montreal Canadiens,3,,,,
2010-04-22,Philadelphia Flyers,3,New Jersey Devils,0,,,,
2010-04-22,Chicago Blackhawks,3,Nashville Predators,0,,,,
2010-04-22,Ottawa Senators,4,Pittsburgh Penguins,3,3OT,,,
2010-04-22,Colorado Avalanche,0,San Jose Sharks,5,,,,
2010-04-23,Boston Bruins,1,Buffalo Sabres,4,,,,
2010-04-23,Detroit Red Wings,4,Phoenix Coyotes,1,,,,
2010-04-23,Los Angeles Kings,2,Vancouver Canucks,7,,,,
2010-04-23,Montreal Canadiens,2,Washington Capitals,1,,,,
2010-04-24,Nashville Predators,4,Chicago Blackhawks,5,OT,,,
2010-04-24,San Jose Sharks,5,Colorado Avalanche,2,,,,
2010-04-24,Pittsburgh Penguins,4,Ottawa Senators,3,OT,,,
2010-04-25,Phoenix Coyotes,5,Detroit Red Wings,2,,,,
2010-04-25,Vancouver Canucks,4,Los Angeles Kings,2,,,,
2010-04-26,Buffalo Sabres,3,Boston Bruins,4,,,,
2010-04-26,Washington Capitals,1,Montreal Canadiens,4,,,,
2010-04-26,Chicago Blackhawks,5,Nashville Predators,3,,,,
2010-04-27,Detroit Red Wings,6,Phoenix Coyotes,1,,,,
2010-04-28,Montreal Canadiens,2,Washington Capitals,1,,,,
2010-04-29,Detroit Red Wings,3,San Jose Sharks,4,,,,
2010-04-30,Montreal Canadiens,3,Pittsburgh Penguins,6,,,,
2010-05-01,Philadelphia Flyers,4,Boston Bruins,5,OT,,,
2010-05-01,Vancouver Canucks,5,Chicago Blackhawks,1,,,,
2010-05-02,Montreal Canadiens,3,Pittsburgh Penguins,1,,,,
2010-05-02,Detroit Red Wings,3,San Jose Sharks,4,,,,
2010-05-03,Philadelphia Flyers,2,Boston Bruins,3,,,,
2010-05-03,Vancouver Canucks,2,Chicago Blackhawks,4,,,,
2010-05-04,San Jose Sharks,4,Detroit Red Wings,3,OT,,,
2010-05-04,Pittsburgh Penguins,2,Montreal Canadiens,0,,,,
2010-05-05,Boston Bruins,4,Philadelphia Flyers,1,,,,
2010-05-05,Chicago Blackhawks,5,Vancouver Canucks,2,,,,
2010-05-06,San Jose Sharks,1,Detroit Red Wings,7,,,,
2010-05-06,Pittsburgh Penguins,2,Montreal Canadiens,3,,,,
2010-05-07,Boston Bruins,4,Philadelphia Flyers,5,OT,,,
2010-05-07,Chicago Blackhawks,7,Vancouver Canucks,4,,,,
2010-05-08,Montreal Canadiens,1,Pittsburgh Penguins,2,,,,
2010-05-08,Detroit Red Wings,1,San Jose Sharks,2,,,,
2010-05-09,Vancouver Canucks,4,Chicago Blackhawks,1,,,,
2010-05-10,Philadelphia Flyers,4,Boston Bruins,0,,,,
2010-05-10,Pittsburgh Penguins,3,Montreal Canadiens,4,,,,
2010-05-11,Chicago Blackhawks,5,Vancouver Canucks,1,,,,
2010-05-12,Boston Bruins,1,Philadelphia Flyers,2,,,,
2010-05-12,Montreal Canadiens,5,Pittsburgh Penguins,2,,,,
2010-05-14,Philadelphia Flyers,4,Boston Bruins,3,,,,
2010-05-16,Montreal Canadiens,0,Philadelphia Flyers,6,,,,
2010-05-16,Chicago Blackhawks,2,San Jose Sharks,1,,,,
2010-05-18,Montreal Canadiens,0,Philadelphia Flyers,3,,,,
2010-05-18,Chicago Blackhawks,4,San Jose Sharks,2,,,,
2010-05-20,Philadelphia Flyers,1,Montreal Canadiens,5,,,,
2010-05-21,San Jose Sharks,2,Chicago Blackhawks,3,OT,,,
2010-05-22,Philadelphia Flyers,3,Montreal Canadiens,0,,,,
2010-05-23,San Jose Sharks,2,Chicago Blackhawks,4,,,,
2010-05-24,Montreal Canadiens,2,Philadelphia Flyers,4,,,,
2010-05-29,Philadelphia Flyers,5,Chicago Blackhawks,6,,,,
2010-05-31,Philadelphia Flyers,1,Chicago Blackhawks,2,,,,
2010-06-02,Chicago Blackhawks,3,Philadelphia Flyers,4,OT,,,
2010-06-04,Chicago Blackhawks,3,Philadelphia Flyers,5,,,,
2010-06-06,Philadelphia Flyers,4,Chicago Blackhawks,7,,,,
2010-06-09,Chicago Blackhawks,4,Philadelphia Flyers,3,OT,,,
