Date,Visitor,G,Home,G,,Att.,LOG,Notes
1995-05-06,Washington Capitals,5,Pittsburgh Penguins,4,,,,
1995-05-06,New York Rangers,4,Quebec Nordiques,5,,,,
1995-05-07,New Jersey Devils,5,Boston Bruins,0,,,,
1995-05-07,San Jose Sharks,5,Calgary Flames,4,,,,
1995-05-07,Toronto Maple Leafs,5,Chicago Blackhawks,3,,,,
1995-05-07,Dallas Stars,3,Detroit Red Wings,4,,,,
1995-05-07,Buffalo Sabres,3,Philadelphia Flyers,4,OT,,,
1995-05-07,Vancouver Canucks,1,St. Louis Blues,2,,,,
1995-05-08,New Jersey Devils,3,Boston Bruins,0,,,,
1995-05-08,Buffalo Sabres,1,Philadelphia Flyers,3,,,,
1995-05-08,Washington Capitals,3,Pittsburgh Penguins,5,,,,
1995-05-08,New York Rangers,8,Quebec Nordiques,3,,,,
1995-05-09,San Jose Sharks,5,Calgary Flames,4,OT,,,
1995-05-09,Toronto Maple Leafs,3,Chicago Blackhawks,0,,,,
1995-05-09,Dallas Stars,1,Detroit Red Wings,4,,,,
1995-05-09,Vancouver Canucks,5,St. Louis Blues,3,,,,
1995-05-10,Philadelphia Flyers,1,Buffalo Sabres,3,,,,
1995-05-10,Boston Bruins,3,New Jersey Devils,2,,,,
1995-05-10,Quebec Nordiques,3,New York Rangers,4,,,,
1995-05-10,Pittsburgh Penguins,2,Washington Capitals,6,,,,
1995-05-11,Detroit Red Wings,5,Dallas Stars,1,,,,
1995-05-11,Calgary Flames,9,San Jose Sharks,2,,,,
1995-05-11,Chicago Blackhawks,3,Toronto Maple Leafs,2,,,,
1995-05-11,St. Louis Blues,1,Vancouver Canucks,6,,,,
1995-05-12,Philadelphia Flyers,4,Buffalo Sabres,2,,,,
1995-05-12,Boston Bruins,0,New Jersey Devils,1,OT,,,
1995-05-12,Quebec Nordiques,2,New York Rangers,3,OT,,,
1995-05-12,Pittsburgh Penguins,2,Washington Capitals,6,,,,
1995-05-13,Calgary Flames,6,San Jose Sharks,4,,,,
1995-05-13,Chicago Blackhawks,3,Toronto Maple Leafs,1,,,,
1995-05-13,St. Louis Blues,5,Vancouver Canucks,2,,,,
1995-05-14,New Jersey Devils,3,Boston Bruins,2,,,,
1995-05-14,Detroit Red Wings,1,Dallas Stars,4,,,,
1995-05-14,Buffalo Sabres,4,Philadelphia Flyers,6,,,,
1995-05-14,Washington Capitals,5,Pittsburgh Penguins,6,OT,,,
1995-05-14,New York Rangers,2,Quebec Nordiques,4,,,,
1995-05-15,San Jose Sharks,0,Calgary Flames,5,,,,
1995-05-15,Toronto Maple Leafs,2,Chicago Blackhawks,4,,,,
1995-05-15,Dallas Stars,1,Detroit Red Wings,3,,,,
1995-05-15,Vancouver Canucks,6,St. Louis Blues,5,OT,,,
1995-05-16,Quebec Nordiques,2,New York Rangers,4,,,,
1995-05-16,Pittsburgh Penguins,7,Washington Capitals,1,,,,
1995-05-17,Calgary Flames,3,San Jose Sharks,5,,,,
1995-05-17,Chicago Blackhawks,4,Toronto Maple Leafs,5,OT,,,
1995-05-17,St. Louis Blues,8,Vancouver Canucks,2,,,,
1995-05-18,Washington Capitals,0,Pittsburgh Penguins,3,,,,
1995-05-19,San Jose Sharks,5,Calgary Flames,4,2OT,,,
1995-05-19,Toronto Maple Leafs,2,Chicago Blackhawks,5,,,,
1995-05-19,Vancouver Canucks,5,St. Louis Blues,3,,,,
1995-05-20,New Jersey Devils,2,Pittsburgh Penguins,3,,,,
1995-05-21,Vancouver Canucks,1,Chicago Blackhawks,2,OT,,,
1995-05-21,San Jose Sharks,0,Detroit Red Wings,6,,,,
1995-05-21,New York Rangers,4,Philadelphia Flyers,5,OT,,,
1995-05-22,New York Rangers,3,Philadelphia Flyers,4,OT,,,
1995-05-22,New Jersey Devils,4,Pittsburgh Penguins,2,,,,
1995-05-23,Vancouver Canucks,0,Chicago Blackhawks,2,,,,
1995-05-23,San Jose Sharks,2,Detroit Red Wings,6,,,,
1995-05-24,Pittsburgh Penguins,1,New Jersey Devils,5,,,,
1995-05-24,Philadelphia Flyers,5,New York Rangers,2,,,,
1995-05-25,Detroit Red Wings,6,San Jose Sharks,2,,,,
1995-05-25,Chicago Blackhawks,3,Vancouver Canucks,2,OT,,,
1995-05-26,Pittsburgh Penguins,1,New Jersey Devils,2,OT,,,
1995-05-26,Philadelphia Flyers,4,New York Rangers,1,,,,
1995-05-27,Detroit Red Wings,6,San Jose Sharks,2,,,,
1995-05-27,Chicago Blackhawks,4,Vancouver Canucks,3,OT,,,
1995-05-28,New Jersey Devils,4,Pittsburgh Penguins,1,,,,
1995-06-01,Chicago Blackhawks,1,Detroit Red Wings,2,OT,,,
1995-06-03,New Jersey Devils,4,Philadelphia Flyers,1,,,,
1995-06-04,Chicago Blackhawks,2,Detroit Red Wings,3,,,,
1995-06-05,New Jersey Devils,5,Philadelphia Flyers,2,,,,
1995-06-06,Detroit Red Wings,4,Chicago Blackhawks,3,2OT,,,
1995-06-07,Philadelphia Flyers,3,New Jersey Devils,2,OT,,,
1995-06-08,Detroit Red Wings,2,Chicago Blackhawks,5,,,,
1995-06-10,Philadelphia Flyers,4,New Jersey Devils,2,,,,
1995-06-11,Chicago Blackhawks,1,Detroit Red Wings,2,2OT,,,
1995-06-11,New Jersey Devils,3,Philadelphia Flyers,2,,,,
1995-06-13,Philadelphia Flyers,2,New Jersey Devils,4,,,,
1995-06-17,New Jersey Devils,2,Detroit Red Wings,1,,,,
1995-06-20,New Jersey Devils,4,Detroit Red Wings,2,,,,
1995-06-22,Detroit Red Wings,2,New Jersey Devils,5,,,,
1995-06-24,Detroit Red Wings,2,New Jersey Devils,5,,,,
