Date,Visitor,G,Home,G,,Att.,LOG,Notes
1988-10-06,Toronto Maple Leafs,1,Boston Bruins,2,,,,
1988-10-06,Montreal Canadiens,2,Buffalo Sabres,3,,,,
1988-10-06,New York Islanders,4,Calgary Flames,4,OT,,,
1988-10-06,New York Rangers,2,Chicago Blackhawks,2,OT,,,
1988-10-06,Quebec Nordiques,5,Hartford Whalers,2,,,,
1988-10-06,Detroit Red Wings,2,Los Angeles Kings,8,,,,
1988-10-06,St. Louis Blues,8,Minnesota North Stars,3,,,,
1988-10-06,New Jersey Devils,1,Philadelphia Flyers,4,,,,
1988-10-06,Winnipeg Jets,2,Vancouver Canucks,2,OT,,,
1988-10-07,New York Islanders,1,Edmonton Oilers,5,,,,
1988-10-07,Pittsburgh Penguins,6,Washington Capitals,4,,,,
1988-10-08,Boston Bruins,6,Hartford Whalers,2,,,,
1988-10-08,Calgary Flames,5,Los Angeles Kings,6,OT,,,
1988-10-08,Minnesota North Stars,3,Montreal Canadiens,4,,,,
1988-10-08,New Jersey Devils,5,Quebec Nordiques,3,,,,
1988-10-08,New York Rangers,4,St. Louis Blues,2,,,,
1988-10-08,Chicago Blackhawks,4,Toronto Maple Leafs,7,,,,
1988-10-08,Detroit Red Wings,3,Vancouver Canucks,3,OT,,,
1988-10-08,Buffalo Sabres,2,Washington Capitals,6,,,,
1988-10-09,Hartford Whalers,1,Boston Bruins,3,,,,
1988-10-09,Toronto Maple Leafs,8,Chicago Blackhawks,4,,,,
1988-10-09,Winnipeg Jets,4,Edmonton Oilers,5,,,,
1988-10-09,New York Islanders,5,Los Angeles Kings,6,OT,,,
1988-10-09,Buffalo Sabres,3,Philadelphia Flyers,4,OT,,,
1988-10-09,Minnesota North Stars,1,Quebec Nordiques,4,,,,
1988-10-10,Detroit Red Wings,2,Calgary Flames,5,,,,
1988-10-10,New Jersey Devils,5,New York Rangers,0,,,,
1988-10-10,New York Islanders,3,Vancouver Canucks,2,,,,
1988-10-11,Washington Capitals,7,Pittsburgh Penguins,8,,,,
1988-10-12,Pittsburgh Penguins,5,Buffalo Sabres,8,,,,
1988-10-12,Winnipeg Jets,1,Chicago Blackhawks,10,,,,
1988-10-12,Vancouver Canucks,6,Edmonton Oilers,2,,,,
1988-10-12,Boston Bruins,2,Los Angeles Kings,6,,,,
1988-10-12,Quebec Nordiques,6,Montreal Canadiens,5,,,,
1988-10-12,Hartford Whalers,4,New York Rangers,3,,,,
1988-10-12,St. Louis Blues,4,Toronto Maple Leafs,2,,,,
1988-10-13,Philadelphia Flyers,7,Minnesota North Stars,6,,,,
1988-10-14,Edmonton Oilers,1,Calgary Flames,6,,,,
1988-10-14,St. Louis Blues,8,Detroit Red Wings,8,OT,,,
1988-10-14,Montreal Canadiens,7,New Jersey Devils,3,,,,
1988-10-14,Buffalo Sabres,5,Quebec Nordiques,4,,,,
1988-10-14,Vancouver Canucks,3,Winnipeg Jets,4,OT,,,
1988-10-14,Toronto Maple Leafs,3,Washington Capitals,1,,,,
1988-10-15,Chicago Blackhawks,5,Hartford Whalers,7,,,,
1988-10-15,Philadelphia Flyers,4,Los Angeles Kings,1,,,,
1988-10-15,Boston Bruins,1,Minnesota North Stars,5,,,,
1988-10-15,Montreal Canadiens,1,New York Islanders,2,,,,
1988-10-15,St. Louis Blues,2,Pittsburgh Penguins,9,,,,
1988-10-15,Detroit Red Wings,5,Toronto Maple Leafs,3,,,,
1988-10-15,New Jersey Devils,5,Washington Capitals,8,,,,
1988-10-16,Quebec Nordiques,5,Buffalo Sabres,3,,,,
1988-10-16,Boston Bruins,10,Chicago Blackhawks,3,,,,
1988-10-16,Vancouver Canucks,2,New York Rangers,3,,,,
1988-10-16,Edmonton Oilers,3,Winnipeg Jets,3,OT,,,
1988-10-17,Los Angeles Kings,4,Calgary Flames,11,,,,
1988-10-17,Minnesota North Stars,3,Edmonton Oilers,3,OT,,,
1988-10-17,Toronto Maple Leafs,6,Montreal Canadiens,2,,,,
1988-10-18,Chicago Blackhawks,3,Detroit Red Wings,4,OT,,,
1988-10-18,Vancouver Canucks,2,New York Islanders,3,,,,
1988-10-18,Philadelphia Flyers,2,Pittsburgh Penguins,4,,,,
1988-10-19,Minnesota North Stars,1,Calgary Flames,2,,,,
1988-10-19,Los Angeles Kings,6,Edmonton Oilers,8,,,,
1988-10-19,Hartford Whalers,4,Montreal Canadiens,5,,,,
1988-10-19,Vancouver Canucks,4,New Jersey Devils,0,,,,
1988-10-19,Washington Capitals,1,New York Rangers,5,,,,
1988-10-19,Buffalo Sabres,2,Toronto Maple Leafs,4,,,,
1988-10-19,Boston Bruins,5,Winnipeg Jets,2,,,,
1988-10-20,Quebec Nordiques,2,Philadelphia Flyers,5,,,,
1988-10-20,Chicago Blackhawks,0,St. Louis Blues,2,,,,
1988-10-21,Montreal Canadiens,3,Buffalo Sabres,5,,,,
1988-10-21,Toronto Maple Leafs,4,Detroit Red Wings,2,,,,
1988-10-21,Pittsburgh Penguins,4,New Jersey Devils,6,,,,
1988-10-21,New York Rangers,4,Washington Capitals,1,,,,
1988-10-22,Philadelphia Flyers,6,Hartford Whalers,8,,,,
1988-10-22,Minnesota North Stars,2,Los Angeles Kings,8,,,,
1988-10-22,Buffalo Sabres,3,Montreal Canadiens,4,,,,
1988-10-22,Quebec Nordiques,3,New York Islanders,7,,,,
1988-10-22,Chicago Blackhawks,4,Pittsburgh Penguins,7,,,,
1988-10-22,Boston Bruins,5,St. Louis Blues,2,,,,
1988-10-22,Calgary Flames,3,Toronto Maple Leafs,3,OT,,,
1988-10-23,New Jersey Devils,3,Detroit Red Wings,3,OT,,,
1988-10-23,Quebec Nordiques,2,New York Rangers,8,,,,
1988-10-23,Calgary Flames,5,Philadelphia Flyers,4,OT,,,
1988-10-23,Edmonton Oilers,5,Vancouver Canucks,6,,,,
1988-10-23,Washington Capitals,2,Winnipeg Jets,3,,,,
1988-10-25,Montreal Canadiens,1,Boston Bruins,1,OT,,,
1988-10-25,Edmonton Oilers,5,Los Angeles Kings,4,,,,
1988-10-25,Buffalo Sabres,7,New Jersey Devils,4,,,,
1988-10-25,Toronto Maple Leafs,4,New York Islanders,3,,,,
1988-10-25,Calgary Flames,1,Pittsburgh Penguins,6,,,,
1988-10-25,Chicago Blackhawks,7,Quebec Nordiques,4,,,,
1988-10-25,Washington Capitals,4,Vancouver Canucks,3,OT,,,
1988-10-26,Hartford Whalers,7,Buffalo Sabres,1,,,,
1988-10-26,Montreal Canadiens,2,Detroit Red Wings,4,,,,
1988-10-26,Toronto Maple Leafs,3,Minnesota North Stars,2,,,,
1988-10-26,Philadelphia Flyers,3,New York Rangers,4,,,,
1988-10-27,Quebec Nordiques,2,Boston Bruins,6,,,,
1988-10-27,New York Islanders,2,Philadelphia Flyers,5,,,,
1988-10-27,Pittsburgh Penguins,3,St. Louis Blues,4,,,,
1988-10-28,Washington Capitals,2,Calgary Flames,2,OT,,,
1988-10-28,Minnesota North Stars,1,Detroit Red Wings,4,,,,
1988-10-28,Hartford Whalers,3,New Jersey Devils,5,,,,
1988-10-28,Chicago Blackhawks,2,Vancouver Canucks,5,,,,
1988-10-28,Los Angeles Kings,7,Winnipeg Jets,4,,,,
1988-10-29,Buffalo Sabres,3,Boston Bruins,3,OT,,,
1988-10-29,Washington Capitals,3,Edmonton Oilers,4,OT,,,
1988-10-29,New Jersey Devils,0,Hartford Whalers,3,,,,
1988-10-29,Detroit Red Wings,2,Minnesota North Stars,3,,,,
1988-10-29,Pittsburgh Penguins,5,Montreal Canadiens,4,,,,
1988-10-29,New York Rangers,6,Philadelphia Flyers,5,,,,
1988-10-29,New York Islanders,2,Quebec Nordiques,3,OT,,,
1988-10-29,Toronto Maple Leafs,2,St. Louis Blues,3,,,,
1988-10-30,Boston Bruins,3,Buffalo Sabres,3,OT,,,
1988-10-30,Chicago Blackhawks,5,Edmonton Oilers,2,,,,
1988-10-30,Pittsburgh Penguins,2,New York Rangers,9,,,,
1988-10-30,Calgary Flames,1,Vancouver Canucks,2,,,,
1988-10-30,Los Angeles Kings,4,Winnipeg Jets,8,,,,
1988-10-31,Chicago Blackhawks,3,Calgary Flames,6,,,,
1988-11-01,Washington Capitals,3,Detroit Red Wings,3,OT,,,
1988-11-01,Montreal Canadiens,5,Hartford Whalers,3,,,,
1988-11-01,Philadelphia Flyers,2,New Jersey Devils,3,,,,
1988-11-01,Winnipeg Jets,8,New York Islanders,1,,,,
1988-11-01,Vancouver Canucks,3,Pittsburgh Penguins,5,,,,
1988-11-01,Los Angeles Kings,3,Quebec Nordiques,1,,,,
1988-11-02,New York Rangers,4,Buffalo Sabres,6,,,,
1988-11-02,St. Louis Blues,4,Edmonton Oilers,5,,,,
1988-11-02,Los Angeles Kings,3,Montreal Canadiens,5,,,,
1988-11-02,Boston Bruins,7,Toronto Maple Leafs,2,,,,
1988-11-03,Hartford Whalers,5,Boston Bruins,3,,,,
1988-11-03,St. Louis Blues,1,Calgary Flames,6,,,,
1988-11-03,Minnesota North Stars,1,Chicago Blackhawks,4,,,,
1988-11-03,Winnipeg Jets,3,New Jersey Devils,3,OT,,,
1988-11-03,Vancouver Canucks,5,Philadelphia Flyers,2,,,,
1988-11-03,Quebec Nordiques,6,Pittsburgh Penguins,2,,,,
1988-11-04,Philadelphia Flyers,4,Detroit Red Wings,3,,,,
1988-11-04,Buffalo Sabres,3,Edmonton Oilers,7,,,,
1988-11-04,New York Islanders,2,Washington Capitals,4,,,,
1988-11-05,Buffalo Sabres,0,Calgary Flames,9,,,,
1988-11-05,Vancouver Canucks,3,Hartford Whalers,2,OT,,,
1988-11-05,Chicago Blackhawks,5,Minnesota North Stars,5,OT,,,
1988-11-05,Winnipeg Jets,2,Montreal Canadiens,7,,,,
1988-11-05,Washington Capitals,3,New York Islanders,4,OT,,,
1988-11-05,St. Louis Blues,5,Quebec Nordiques,2,,,,
1988-11-05,Los Angeles Kings,6,Toronto Maple Leafs,4,,,,
1988-11-06,Vancouver Canucks,2,Boston Bruins,4,,,,
1988-11-06,Los Angeles Kings,5,Chicago Blackhawks,3,,,,
1988-11-06,Edmonton Oilers,2,Detroit Red Wings,5,,,,
1988-11-06,New York Rangers,5,New Jersey Devils,6,,,,
1988-11-06,Pittsburgh Penguins,4,Philadelphia Flyers,5,,,,
1988-11-07,Hartford Whalers,3,Calgary Flames,6,,,,
1988-11-07,St. Louis Blues,3,Montreal Canadiens,3,OT,,,
1988-11-08,New York Rangers,3,New York Islanders,4,,,,
1988-11-08,Edmonton Oilers,7,Pittsburgh Penguins,3,,,,
1988-11-08,Winnipeg Jets,8,Quebec Nordiques,4,,,,
1988-11-09,Calgary Flames,2,Buffalo Sabres,3,,,,
1988-11-09,Montreal Canadiens,6,Chicago Blackhawks,6,OT,,,
1988-11-09,Detroit Red Wings,6,Minnesota North Stars,3,,,,
1988-11-09,Edmonton Oilers,3,New Jersey Devils,2,OT,,,
1988-11-09,Philadelphia Flyers,3,New York Rangers,5,,,,
1988-11-09,Hartford Whalers,1,Vancouver Canucks,1,OT,,,
1988-11-10,Hartford Whalers,2,Los Angeles Kings,7,,,,
1988-11-10,Calgary Flames,3,Philadelphia Flyers,2,OT,,,
1988-11-10,Toronto Maple Leafs,1,Pittsburgh Penguins,5,,,,
1988-11-10,Minnesota North Stars,5,St. Louis Blues,5,OT,,,
1988-11-10,Quebec Nordiques,1,Washington Capitals,4,,,,
1988-11-11,New York Islanders,3,New Jersey Devils,3,OT,,,
