Date,Visitor,G,Home,G,,Att.,LOG,Notes
2002-04-17,New Jersey Devils,1,Carolina Hurricanes,2,,,,
2002-04-17,Vancouver Canucks,4,Detroit Red Wings,3,OT,,,
2002-04-17,Ottawa Senators,0,Philadelphia Flyers,1,OT,,,
2002-04-17,Phoenix Coyotes,1,San Jose Sharks,2,,,,
2002-04-18,Montreal Canadiens,5,Boston Bruins,2,,,,
2002-04-18,Los Angeles Kings,3,Colorado Avalanche,4,,,,
2002-04-18,Chicago Blackhawks,2,St. Louis Blues,1,,,,
2002-04-18,New York Islanders,1,Toronto Maple Leafs,3,,,,
2002-04-19,New Jersey Devils,1,Carolina Hurricanes,2,OT,,,
2002-04-19,Vancouver Canucks,5,Detroit Red Wings,2,,,,
2002-04-20,Los Angeles Kings,3,Colorado Avalanche,5,,,,
2002-04-20,Ottawa Senators,3,Philadelphia Flyers,0,,,,
2002-04-20,Phoenix Coyotes,3,San Jose Sharks,1,,,,
2002-04-20,Chicago Blackhawks,0,St. Louis Blues,2,,,,
2002-04-20,New York Islanders,0,Toronto Maple Leafs,2,,,,
2002-04-21,Montreal Canadiens,4,Boston Bruins,6,,,,
2002-04-21,St. Louis Blues,4,Chicago Blackhawks,0,,,,
2002-04-21,Carolina Hurricanes,0,New Jersey Devils,4,,,,
2002-04-21,Detroit Red Wings,3,Vancouver Canucks,1,,,,
2002-04-22,Colorado Avalanche,1,Los Angeles Kings,3,,,,
2002-04-22,Philadelphia Flyers,0,Ottawa Senators,3,,,,
2002-04-22,San Jose Sharks,4,Phoenix Coyotes,1,,,,
2002-04-23,St. Louis Blues,1,Chicago Blackhawks,0,,,,
2002-04-23,Colorado Avalanche,1,Los Angeles Kings,0,,,,
2002-04-23,Boston Bruins,3,Montreal Canadiens,5,,,,
2002-04-23,Carolina Hurricanes,1,New Jersey Devils,3,,,,
2002-04-23,Toronto Maple Leafs,1,New York Islanders,6,,,,
2002-04-23,Detroit Red Wings,4,Vancouver Canucks,2,,,,
2002-04-24,New Jersey Devils,2,Carolina Hurricanes,3,OT,,,
2002-04-24,Toronto Maple Leafs,3,New York Islanders,4,,,,
2002-04-24,Philadelphia Flyers,0,Ottawa Senators,3,,,,
2002-04-24,San Jose Sharks,2,Phoenix Coyotes,1,,,,
2002-04-25,Los Angeles Kings,1,Colorado Avalanche,0,OT,,,
2002-04-25,Vancouver Canucks,0,Detroit Red Wings,4,,,,
2002-04-25,Boston Bruins,5,Montreal Canadiens,2,,,,
2002-04-25,Chicago Blackhawks,3,St. Louis Blues,5,,,,
2002-04-26,Ottawa Senators,2,Philadelphia Flyers,1,OT,,,
2002-04-26,Phoenix Coyotes,1,San Jose Sharks,4,,,,
2002-04-26,New York Islanders,3,Toronto Maple Leafs,6,,,,
2002-04-27,Montreal Canadiens,2,Boston Bruins,1,,,,
2002-04-27,Colorado Avalanche,1,Los Angeles Kings,3,,,,
2002-04-27,Carolina Hurricanes,1,New Jersey Devils,0,,,,
2002-04-27,Detroit Red Wings,6,Vancouver Canucks,4,,,,
2002-04-28,Toronto Maple Leafs,3,New York Islanders,5,,,,
2002-04-29,Los Angeles Kings,0,Colorado Avalanche,4,,,,
2002-04-29,Boston Bruins,1,Montreal Canadiens,2,,,,
2002-04-30,New York Islanders,2,Toronto Maple Leafs,4,,,,
2002-05-01,San Jose Sharks,6,Colorado Avalanche,3,,,,
2002-05-02,St. Louis Blues,0,Detroit Red Wings,2,,,,
2002-05-02,Ottawa Senators,5,Toronto Maple Leafs,0,,,,
2002-05-03,Montreal Canadiens,0,Carolina Hurricanes,2,,,,
2002-05-04,San Jose Sharks,2,Colorado Avalanche,8,,,,
2002-05-04,St. Louis Blues,2,Detroit Red Wings,3,,,,
2002-05-04,Ottawa Senators,2,Toronto Maple Leafs,3,3OT,,,
2002-05-05,Montreal Canadiens,4,Carolina Hurricanes,1,,,,
2002-05-06,Toronto Maple Leafs,2,Ottawa Senators,3,,,,
2002-05-06,Colorado Avalanche,4,San Jose Sharks,6,,,,
2002-05-07,Carolina Hurricanes,1,Montreal Canadiens,2,OT,,,
2002-05-07,Detroit Red Wings,1,St. Louis Blues,6,,,,
2002-05-08,Toronto Maple Leafs,2,Ottawa Senators,1,,,,
2002-05-08,Colorado Avalanche,4,San Jose Sharks,1,,,,
2002-05-09,Carolina Hurricanes,4,Montreal Canadiens,3,OT,,,
