Date,Visitor,G,Home,G,,Att.,LOG,Notes
1989-10-05,Pittsburgh Penguins,4,Boston Bruins,5,,,,
1989-10-05,Quebec Nordiques,3,Buffalo Sabres,4,,,,
1989-10-05,Detroit Red Wings,7,Calgary Flames,10,,,,
1989-10-05,St. Louis Blues,8,Chicago Blackhawks,3,,,,
1989-10-05,Montreal Canadiens,4,Hartford Whalers,1,,,,
1989-10-05,Toronto Maple Leafs,2,Los Angeles Kings,4,,,,
1989-10-05,New York Islanders,5,Minnesota North Stars,6,,,,
1989-10-05,New Jersey Devils,6,Philadelphia Flyers,2,,,,
1989-10-05,Edmonton Oilers,4,Vancouver Canucks,1,,,,
1989-10-06,New York Rangers,4,Winnipeg Jets,1,,,,
1989-10-06,Philadelphia Flyers,3,Washington Capitals,5,,,,
1989-10-07,New York Islanders,3,Calgary Flames,6,,,,
1989-10-07,Minnesota North Stars,6,Hartford Whalers,4,,,,
1989-10-07,Edmonton Oilers,6,Los Angeles Kings,5,,,,
1989-10-07,Buffalo Sabres,1,Montreal Canadiens,5,,,,
1989-10-07,Pittsburgh Penguins,4,New Jersey Devils,4,OT,,,
1989-10-07,Boston Bruins,1,Quebec Nordiques,4,,,,
1989-10-07,Toronto Maple Leafs,8,St. Louis Blues,5,,,,
1989-10-07,Detroit Red Wings,3,Vancouver Canucks,5,,,,
1989-10-07,Chicago Blackhawks,3,Washington Capitals,2,,,,
1989-10-08,Minnesota North Stars,2,Buffalo Sabres,2,OT,,,
1989-10-08,New York Rangers,5,Chicago Blackhawks,3,,,,
1989-10-08,Detroit Red Wings,0,Los Angeles Kings,5,,,,
1989-10-08,Hartford Whalers,9,Quebec Nordiques,6,,,,
1989-10-08,Philadelphia Flyers,3,Winnipeg Jets,5,,,,
1989-10-09,Montreal Canadiens,0,Boston Bruins,2,,,,
1989-10-09,New York Islanders,5,Vancouver Canucks,2,,,,
1989-10-10,Calgary Flames,4,New Jersey Devils,2,,,,
1989-10-10,Winnipeg Jets,1,Pittsburgh Penguins,5,,,,
1989-10-11,Vancouver Canucks,5,Edmonton Oilers,2,,,,
1989-10-11,Washington Capitals,1,Hartford Whalers,4,,,,
1989-10-11,New York Islanders,7,Los Angeles Kings,4,,,,
1989-10-11,Boston Bruins,2,Montreal Canadiens,4,,,,
1989-10-11,Calgary Flames,4,New York Rangers,5,,,,
1989-10-11,Buffalo Sabres,7,Toronto Maple Leafs,1,,,,
1989-10-12,Toronto Maple Leafs,6,Chicago Blackhawks,9,,,,
1989-10-12,Winnipeg Jets,4,Detroit Red Wings,5,,,,
1989-10-12,St. Louis Blues,0,Minnesota North Stars,3,,,,
1989-10-12,Quebec Nordiques,2,Philadelphia Flyers,4,,,,
1989-10-13,Hartford Whalers,1,Buffalo Sabres,4,,,,
1989-10-13,Boston Bruins,3,Edmonton Oilers,3,OT,,,
1989-10-13,Montreal Canadiens,4,New Jersey Devils,3,OT,,,
1989-10-13,Los Angeles Kings,6,Vancouver Canucks,5,,,,
1989-10-13,New York Rangers,4,Washington Capitals,7,,,,
1989-10-14,Buffalo Sabres,2,Detroit Red Wings,6,,,,
1989-10-14,New Jersey Devils,3,Hartford Whalers,2,,,,
1989-10-14,Quebec Nordiques,2,Minnesota North Stars,3,,,,
1989-10-14,Philadelphia Flyers,3,New York Islanders,3,OT,,,
1989-10-14,Montreal Canadiens,1,Pittsburgh Penguins,2,OT,,,
1989-10-14,Chicago Blackhawks,1,St. Louis Blues,2,,,,
1989-10-14,Winnipeg Jets,5,Toronto Maple Leafs,1,,,,
1989-10-14,Calgary Flames,4,Washington Capitals,4,OT,,,
1989-10-15,Detroit Red Wings,0,Chicago Blackhawks,3,,,,
1989-10-15,Los Angeles Kings,5,Edmonton Oilers,4,OT,,,
1989-10-15,Pittsburgh Penguins,2,New York Rangers,4,,,,
1989-10-15,Calgary Flames,3,Philadelphia Flyers,2,,,,
1989-10-15,Boston Bruins,6,Vancouver Canucks,7,,,,
1989-10-16,Washington Capitals,4,Montreal Canadiens,3,OT,,,
1989-10-17,Boston Bruins,3,Los Angeles Kings,2,,,,
1989-10-17,Minnesota North Stars,6,New York Islanders,3,,,,
1989-10-17,Chicago Blackhawks,3,New York Rangers,3,OT,,,
1989-10-17,Toronto Maple Leafs,5,Pittsburgh Penguins,7,,,,
1989-10-17,Calgary Flames,8,Quebec Nordiques,8,OT,,,
1989-10-18,Minnesota North Stars,3,Detroit Red Wings,4,,,,
1989-10-18,Winnipeg Jets,2,Edmonton Oilers,7,,,,
1989-10-18,Buffalo Sabres,1,Hartford Whalers,2,,,,
1989-10-18,Calgary Flames,1,Montreal Canadiens,2,,,,
1989-10-18,Philadelphia Flyers,3,New Jersey Devils,5,,,,
1989-10-18,St. Louis Blues,9,Pittsburgh Penguins,3,,,,
1989-10-18,Vancouver Canucks,3,Toronto Maple Leafs,4,,,,
1989-10-19,Quebec Nordiques,5,Chicago Blackhawks,3,,,,
1989-10-19,Hartford Whalers,3,New York Rangers,7,,,,
1989-10-19,Detroit Red Wings,4,St. Louis Blues,3,,,,
1989-10-20,Montreal Canadiens,2,Buffalo Sabres,6,,,,
1989-10-20,Boston Bruins,3,Edmonton Oilers,0,,,,
1989-10-20,Vancouver Canucks,3,New Jersey Devils,2,,,,
1989-10-20,Chicago Blackhawks,4,Winnipeg Jets,2,,,,
1989-10-20,New York Islanders,5,Washington Capitals,3,,,,
1989-10-21,Boston Bruins,2,Calgary Flames,5,,,,
1989-10-21,Detroit Red Wings,3,Hartford Whalers,3,OT,,,
1989-10-21,New Jersey Devils,5,Montreal Canadiens,4,,,,
1989-10-21,Vancouver Canucks,2,New York Islanders,1,,,,
1989-10-21,New York Rangers,3,Philadelphia Flyers,1,,,,
1989-10-21,Buffalo Sabres,4,Pittsburgh Penguins,2,,,,
1989-10-21,Minnesota North Stars,2,Quebec Nordiques,7,,,,
1989-10-21,Los Angeles Kings,6,St. Louis Blues,4,,,,
1989-10-21,Washington Capitals,4,Toronto Maple Leafs,8,,,,
1989-10-22,Los Angeles Kings,4,Chicago Blackhawks,7,,,,
1989-10-22,Edmonton Oilers,4,Winnipeg Jets,5,,,,
1989-10-23,Washington Capitals,3,Calgary Flames,3,OT,,,
1989-10-23,Hartford Whalers,2,Montreal Canadiens,3,,,,
1989-10-23,Vancouver Canucks,3,New York Rangers,5,,,,
1989-10-23,New Jersey Devils,5,Toronto Maple Leafs,4,,,,
1989-10-24,Chicago Blackhawks,5,Detroit Red Wings,3,,,,
1989-10-24,Edmonton Oilers,3,New York Islanders,3,OT,,,
1989-10-24,St. Louis Blues,1,Philadelphia Flyers,6,,,,
1989-10-25,Quebec Nordiques,0,Hartford Whalers,2,,,,
1989-10-25,Calgary Flames,5,Los Angeles Kings,0,,,,
1989-10-25,Buffalo Sabres,2,Minnesota North Stars,4,,,,
1989-10-25,Edmonton Oilers,3,New York Rangers,3,OT,,,
1989-10-25,Toronto Maple Leafs,8,Pittsburgh Penguins,6,,,,
1989-10-25,Washington Capitals,4,Winnipeg Jets,6,,,,
1989-10-26,Quebec Nordiques,2,Boston Bruins,4,,,,
1989-10-26,Montreal Canadiens,3,Chicago Blackhawks,5,,,,
1989-10-26,Pittsburgh Penguins,3,Detroit Red Wings,3,OT,,,
1989-10-26,Hartford Whalers,7,New Jersey Devils,3,,,,
1989-10-26,Minnesota North Stars,1,St. Louis Blues,4,,,,
1989-10-27,Toronto Maple Leafs,5,Buffalo Sabres,6,OT,,,
1989-10-27,Vancouver Canucks,5,Calgary Flames,5,OT,,,
1989-10-27,New York Islanders,5,New York Rangers,5,OT,,,
1989-10-27,Los Angeles Kings,3,Winnipeg Jets,1,,,,
1989-10-28,Hartford Whalers,1,Boston Bruins,0,,,,
1989-10-28,Philadelphia Flyers,5,Minnesota North Stars,6,,,,
1989-10-28,Pittsburgh Penguins,1,Montreal Canadiens,5,,,,
1989-10-28,Chicago Blackhawks,2,New Jersey Devils,3,,,,
1989-10-28,New York Rangers,4,New York Islanders,1,,,,
1989-10-28,Edmonton Oilers,6,Quebec Nordiques,3,,,,
1989-10-28,Washington Capitals,0,St. Louis Blues,1,,,,
1989-10-28,Detroit Red Wings,4,Toronto Maple Leafs,6,,,,
1989-10-28,Calgary Flames,3,Vancouver Canucks,4,,,,
1989-10-29,Boston Bruins,3,Buffalo Sabres,4,,,,
1989-10-29,Washington Capitals,0,Chicago Blackhawks,1,,,,
1989-10-29,Edmonton Oilers,4,Montreal Canadiens,5,,,,
1989-10-29,Los Angeles Kings,1,Winnipeg Jets,6,,,,
1989-10-30,Philadelphia Flyers,3,New York Rangers,1,,,,
1989-10-31,Toronto Maple Leafs,6,Minnesota North Stars,4,,,,
1989-10-31,Montreal Canadiens,3,New York Islanders,0,,,,
1989-10-31,Los Angeles Kings,8,Pittsburgh Penguins,4,,,,
1989-10-31,Chicago Blackhawks,5,Quebec Nordiques,3,,,,
1989-10-31,New Jersey Devils,3,Vancouver Canucks,4,,,,
1989-10-31,St. Louis Blues,1,Washington Capitals,1,OT,,,
1989-11-01,Winnipeg Jets,3,Calgary Flames,5,,,,
