Date,Visitor,G,Home,G,,Att.,LOG,Notes
1991-10-03,New York Rangers,3,Boston Bruins,5,,,,
1991-10-03,Detroit Red Wings,3,Chicago Blackhawks,3,OT,,,
1991-10-03,Toronto Maple Leafs,3,Montreal Canadiens,4,,,,
1991-10-04,Pittsburgh Penguins,5,Buffalo Sabres,4,,,,
1991-10-04,Edmonton Oilers,2,Calgary Flames,9,,,,
1991-10-04,San Jose Sharks,3,Vancouver Canucks,4,,,,
1991-10-04,Los Angeles Kings,6,Winnipeg Jets,3,,,,
1991-10-04,Philadelphia Flyers,2,Washington Capitals,5,,,,
1991-10-05,New York Islanders,4,Boston Bruins,3,,,,
1991-10-05,Chicago Blackhawks,2,Minnesota North Stars,4,,,,
1991-10-05,New York Rangers,2,Montreal Canadiens,1,OT,,,
1991-10-05,St. Louis Blues,2,New Jersey Devils,7,,,,
1991-10-05,Hartford Whalers,2,Quebec Nordiques,4,,,,
1991-10-05,Vancouver Canucks,5,San Jose Sharks,2,,,,
1991-10-05,Detroit Red Wings,5,Toronto Maple Leafs,8,,,,
1991-10-05,Buffalo Sabres,1,Washington Capitals,3,,,,
1991-10-06,New Jersey Devils,4,Chicago Blackhawks,2,,,,
1991-10-06,Los Angeles Kings,2,Edmonton Oilers,2,OT,,,
1991-10-06,Philadelphia Flyers,2,Pittsburgh Penguins,2,OT,,,
1991-10-06,Calgary Flames,3,Winnipeg Jets,5,,,,
1991-10-07,Boston Bruins,1,New York Rangers,2,OT,,,
1991-10-07,St. Louis Blues,0,Toronto Maple Leafs,3,,,,
1991-10-08,Montreal Canadiens,2,Hartford Whalers,2,OT,,,
1991-10-08,Edmonton Oilers,3,Los Angeles Kings,6,,,,
1991-10-08,Quebec Nordiques,5,New Jersey Devils,6,,,,
1991-10-08,Calgary Flames,3,San Jose Sharks,4,,,,
1991-10-08,Vancouver Canucks,3,Winnipeg Jets,2,OT,,,
1991-10-09,Boston Bruins,4,Buffalo Sabres,4,OT,,,
1991-10-09,New York Islanders,3,New York Rangers,5,,,,
1991-10-09,Washington Capitals,5,Toronto Maple Leafs,4,,,,
1991-10-10,Vancouver Canucks,6,Chicago Blackhawks,7,,,,
1991-10-10,Montreal Canadiens,4,Detroit Red Wings,1,,,,
1991-10-10,Calgary Flames,7,Los Angeles Kings,1,,,,
1991-10-10,Quebec Nordiques,2,Minnesota North Stars,3,,,,
1991-10-10,Pittsburgh Penguins,6,Philadelphia Flyers,3,,,,
1991-10-10,Winnipeg Jets,5,San Jose Sharks,4,,,,
1991-10-10,Edmonton Oilers,2,St. Louis Blues,3,OT,,,
1991-10-11,New York Rangers,1,Washington Capitals,5,,,,
1991-10-12,Montreal Canadiens,6,Boston Bruins,0,,,,
1991-10-12,Calgary Flames,1,Edmonton Oilers,3,,,,
1991-10-12,New York Rangers,2,Hartford Whalers,5,,,,
1991-10-12,Winnipeg Jets,3,Los Angeles Kings,3,OT,,,
1991-10-12,Detroit Red Wings,2,Minnesota North Stars,3,,,,
1991-10-12,Pittsburgh Penguins,1,New Jersey Devils,4,,,,
1991-10-12,Philadelphia Flyers,4,New York Islanders,5,,,,
1991-10-12,Buffalo Sabres,5,Quebec Nordiques,4,,,,
1991-10-12,San Jose Sharks,3,St. Louis Blues,6,,,,
1991-10-12,Vancouver Canucks,2,Toronto Maple Leafs,1,,,,
1991-10-12,Chicago Blackhawks,7,Washington Capitals,2,,,,
1991-10-13,Vancouver Canucks,3,Buffalo Sabres,1,,,,
1991-10-13,San Jose Sharks,3,Chicago Blackhawks,7,,,,
1991-10-13,New Jersey Devils,2,Philadelphia Flyers,4,,,,
1991-10-13,New York Islanders,1,Quebec Nordiques,1,OT,,,
1991-10-14,Hartford Whalers,4,Montreal Canadiens,3,,,,
1991-10-14,Washington Capitals,5,New York Rangers,3,,,,
1991-10-15,Minnesota North Stars,3,Calgary Flames,6,,,,
1991-10-15,Edmonton Oilers,1,Detroit Red Wings,3,,,,
1991-10-15,Pittsburgh Penguins,7,New York Islanders,6,OT,,,
1991-10-15,Toronto Maple Leafs,1,St. Louis Blues,5,,,,
1991-10-16,San Jose Sharks,5,Los Angeles Kings,8,,,,
1991-10-16,Buffalo Sabres,1,Montreal Canadiens,5,,,,
1991-10-16,New Jersey Devils,2,New York Rangers,4,,,,
1991-10-16,Hartford Whalers,3,Winnipeg Jets,2,,,,
1991-10-17,Toronto Maple Leafs,4,Calgary Flames,6,,,,
1991-10-17,Edmonton Oilers,2,Chicago Blackhawks,4,,,,
1991-10-17,St. Louis Blues,3,Detroit Red Wings,6,,,,
1991-10-17,Quebec Nordiques,3,Philadelphia Flyers,5,,,,
1991-10-17,New York Islanders,5,Pittsburgh Penguins,8,,,,
1991-10-17,Minnesota North Stars,8,San Jose Sharks,2,,,,
1991-10-17,Boston Bruins,3,Vancouver Canucks,3,OT,,,
1991-10-18,Montreal Canadiens,1,Buffalo Sabres,3,,,,
1991-10-18,New Jersey Devils,5,Washington Capitals,6,,,,
1991-10-19,Buffalo Sabres,1,Hartford Whalers,4,,,,
1991-10-19,Minnesota North Stars,2,Los Angeles Kings,5,,,,
1991-10-19,Washington Capitals,5,New Jersey Devils,1,,,,
1991-10-19,Edmonton Oilers,4,New York Islanders,2,,,,
1991-10-19,Montreal Canadiens,1,Philadelphia Flyers,0,,,,
1991-10-19,New York Rangers,5,Pittsburgh Penguins,4,,,,
1991-10-19,Detroit Red Wings,6,Quebec Nordiques,1,,,,
1991-10-19,Boston Bruins,4,San Jose Sharks,1,,,,
1991-10-19,Chicago Blackhawks,4,St. Louis Blues,4,OT,,,
1991-10-19,Calgary Flames,2,Vancouver Canucks,5,,,,
1991-10-19,Toronto Maple Leafs,2,Winnipeg Jets,4,,,,
1991-10-20,St. Louis Blues,4,Chicago Blackhawks,1,,,,
1991-10-20,Edmonton Oilers,4,New York Rangers,3,,,,
1991-10-21,Toronto Maple Leafs,1,Vancouver Canucks,4,,,,
1991-10-22,Calgary Flames,4,Minnesota North Stars,2,,,,
1991-10-22,Los Angeles Kings,2,New Jersey Devils,5,,,,
1991-10-22,Winnipeg Jets,1,New York Islanders,1,OT,,,
1991-10-22,Chicago Blackhawks,4,Pittsburgh Penguins,4,OT,,,
1991-10-23,Winnipeg Jets,3,Detroit Red Wings,2,,,,
1991-10-23,Washington Capitals,6,Edmonton Oilers,5,,,,
1991-10-23,San Jose Sharks,0,Hartford Whalers,3,,,,
1991-10-23,Quebec Nordiques,2,Montreal Canadiens,3,OT,,,
1991-10-23,Los Angeles Kings,2,New York Rangers,7,,,,
1991-10-24,Calgary Flames,5,Chicago Blackhawks,2,,,,
1991-10-24,Philadelphia Flyers,5,Minnesota North Stars,2,,,,
1991-10-24,New Jersey Devils,4,Pittsburgh Penguins,2,,,,
1991-10-24,Montreal Canadiens,5,Quebec Nordiques,0,,,,
1991-10-24,Boston Bruins,5,St. Louis Blues,6,,,,
1991-10-24,Washington Capitals,1,Vancouver Canucks,3,,,,
1991-10-25,San Jose Sharks,1,Buffalo Sabres,3,,,,
1991-10-25,Toronto Maple Leafs,0,Detroit Red Wings,4,,,,
1991-10-25,Philadelphia Flyers,0,Winnipeg Jets,2,,,,
1991-10-26,Vancouver Canucks,4,Edmonton Oilers,5,,,,
1991-10-26,Chicago Blackhawks,4,Hartford Whalers,2,,,,
1991-10-26,Boston Bruins,0,Minnesota North Stars,4,,,,
1991-10-26,Pittsburgh Penguins,1,Montreal Canadiens,4,,,,
1991-10-26,San Jose Sharks,0,New Jersey Devils,9,,,,
1991-10-26,Los Angeles Kings,4,New York Islanders,2,,,,
1991-10-26,New York Rangers,5,Quebec Nordiques,3,,,,
1991-10-26,Calgary Flames,2,St. Louis Blues,2,OT,,,
1991-10-26,Detroit Red Wings,1,Toronto Maple Leafs,6,,,,
1991-10-27,Hartford Whalers,1,Buffalo Sabres,5,,,,
1991-10-27,Boston Bruins,6,Chicago Blackhawks,3,,,,
1991-10-27,Edmonton Oilers,6,Vancouver Canucks,3,,,,
1991-10-27,Washington Capitals,5,Winnipeg Jets,6,,,,
1991-10-28,Los Angeles Kings,4,Detroit Red Wings,3,,,,
1991-10-28,St. Louis Blues,1,Toronto Maple Leafs,1,OT,,,
1991-10-29,San Jose Sharks,4,New York Islanders,8,,,,
1991-10-29,Minnesota North Stars,2,New York Rangers,3,,,,
1991-10-29,Washington Capitals,8,Pittsburgh Penguins,0,,,,
1991-10-29,Winnipeg Jets,2,Quebec Nordiques,7,,,,
1991-10-29,New Jersey Devils,3,Vancouver Canucks,4,,,,
1991-10-30,New Jersey Devils,5,Calgary Flames,2,,,,
1991-10-30,Buffalo Sabres,1,Detroit Red Wings,3,,,,
1991-10-30,St. Louis Blues,2,Edmonton Oilers,2,OT,,,
1991-10-30,Los Angeles Kings,4,Hartford Whalers,4,OT,,,
1991-10-30,Winnipeg Jets,1,Montreal Canadiens,6,,,,
1991-10-31,Los Angeles Kings,4,Boston Bruins,2,,,,
1991-10-31,New York Islanders,3,Chicago Blackhawks,4,,,,
1991-10-31,Quebec Nordiques,4,New York Rangers,5,,,,
1991-10-31,San Jose Sharks,2,Philadelphia Flyers,5,,,,
1991-10-31,Minnesota North Stars,1,Pittsburgh Penguins,8,,,,
1991-11-01,Montreal Canadiens,5,Buffalo Sabres,1,,,,
1991-11-01,Hartford Whalers,5,Detroit Red Wings,8,,,,
1991-11-01,New Jersey Devils,3,Edmonton Oilers,1,,,,
1991-11-01,St. Louis Blues,3,Vancouver Canucks,2,,,,
1991-11-01,Calgary Flames,7,Winnipeg Jets,6,OT,,,
1991-11-01,Toronto Maple Leafs,0,Washington Capitals,4,,,,
1991-11-02,Detroit Red Wings,1,Boston Bruins,4,,,,
1991-11-02,Chicago Blackhawks,3,Minnesota North Stars,4,,,,
1991-11-02,Buffalo Sabres,0,Montreal Canadiens,5,,,,
1991-11-02,Washington Capitals,7,New York Islanders,4,,,,
1991-11-02,New York Rangers,4,Philadelphia Flyers,2,,,,
1991-11-02,Hartford Whalers,6,Pittsburgh Penguins,5,,,,
1991-11-02,San Jose Sharks,3,Quebec Nordiques,6,,,,
1991-11-02,Los Angeles Kings,5,Toronto Maple Leafs,2,,,,
1991-11-03,Minnesota North Stars,4,Chicago Blackhawks,4,OT,,,
1991-11-03,Edmonton Oilers,2,Vancouver Canucks,7,,,,
1991-11-03,St. Louis Blues,3,Winnipeg Jets,3,OT,,,
1991-11-04,New Jersey Devils,2,Montreal Canadiens,3,OT,,,
1991-11-04,Boston Bruins,4,New York Islanders,6,,,,
1991-11-04,Calgary Flames,0,New York Rangers,4,,,,
1991-11-04,San Jose Sharks,1,Toronto Maple Leafs,4,,,,
1991-11-05,Minnesota North Stars,3,Detroit Red Wings,2,,,,
1991-11-05,Boston Bruins,5,Pittsburgh Penguins,5,OT,,,
1991-11-05,Philadelphia Flyers,4,St. Louis Blues,3,,,,
1991-11-05,Winnipeg Jets,2,Vancouver Canucks,2,OT,,,
1991-11-06,New York Islanders,3,Edmonton Oilers,5,,,,
1991-11-06,Calgary Flames,3,Hartford Whalers,2,,,,
1991-11-06,Montreal Canadiens,4,New York Rangers,1,,,,
1991-11-06,Minnesota North Stars,3,Toronto Maple Leafs,4,,,,
1991-11-07,Calgary Flames,4,Boston Bruins,4,OT,,,
1991-11-07,Quebec Nordiques,2,Chicago Blackhawks,4,,,,
1991-11-07,St. Louis Blues,3,Detroit Red Wings,10,,,,
1991-11-07,Vancouver Canucks,4,Los Angeles Kings,3,,,,
1991-11-07,Buffalo Sabres,2,Philadelphia Flyers,5,,,,
1991-11-08,Philadelphia Flyers,3,Buffalo Sabres,4,OT,,,
1991-11-08,Montreal Canadiens,2,New Jersey Devils,3,,,,
1991-11-08,Toronto Maple Leafs,3,New York Rangers,3,OT,,,
1991-11-08,Edmonton Oilers,2,San Jose Sharks,6,,,,
1991-11-08,Pittsburgh Penguins,3,Winnipeg Jets,1,,,,
1991-11-08,Detroit Red Wings,5,Washington Capitals,4,,,,
1991-11-09,New Jersey Devils,0,Boston Bruins,4,,,,
1991-11-09,Edmonton Oilers,4,Los Angeles Kings,4,OT,,,
1991-11-09,Pittsburgh Penguins,3,Minnesota North Stars,2,,,,
1991-11-09,Chicago Blackhawks,2,Montreal Canadiens,4,,,,
1991-11-09,New York Islanders,3,San Jose Sharks,4,,,,
1991-11-09,Hartford Whalers,4,St. Louis Blues,3,,,,
1991-11-09,Calgary Flames,6,Toronto Maple Leafs,1,,,,
1991-11-10,Hartford Whalers,0,Chicago Blackhawks,3,,,,
1991-11-10,St. Louis Blues,4,Detroit Red Wings,6,,,,
1991-11-10,Washington Capitals,10,Quebec Nordiques,3,,,,
1991-11-10,New York Islanders,0,Vancouver Canucks,6,,,,
1991-11-11,Washington Capitals,4,Montreal Canadiens,2,,,,
1991-11-11,Pittsburgh Penguins,1,New York Rangers,3,,,,
1991-11-11,Los Angeles Kings,2,Winnipeg Jets,6,,,,
1991-11-12,Detroit Red Wings,5,Calgary Flames,4,OT,,,
1991-11-12,Quebec Nordiques,4,Hartford Whalers,5,,,,
1991-11-12,Toronto Maple Leafs,0,Minnesota North Stars,7,,,,
1991-11-12,Philadelphia Flyers,2,New Jersey Devils,5,,,,
1991-11-12,Buffalo Sabres,7,San Jose Sharks,1,,,,
1991-11-12,Los Angeles Kings,2,Vancouver Canucks,8,,,,
1991-11-13,Washington Capitals,5,New York Rangers,3,,,,
1991-11-13,Edmonton Oilers,4,Pittsburgh Penguins,5,OT,,,
1991-11-14,Quebec Nordiques,2,Boston Bruins,5,,,,
1991-11-14,Vancouver Canucks,2,Calgary Flames,2,OT,,,
1991-11-14,Toronto Maple Leafs,0,Chicago Blackhawks,3,,,,
1991-11-14,Montreal Canadiens,2,Hartford Whalers,2,OT,,,
1991-11-14,Buffalo Sabres,2,Los Angeles Kings,2,OT,,,
1991-11-14,New York Islanders,4,New Jersey Devils,3,,,,
1991-11-14,Edmonton Oilers,1,Philadelphia Flyers,3,,,,
1991-11-14,Detroit Red Wings,3,San Jose Sharks,3,OT,,,
1991-11-14,Winnipeg Jets,1,St. Louis Blues,2,OT,,,
1991-11-15,Pittsburgh Penguins,2,Washington Capitals,6,,,,
1991-11-16,Buffalo Sabres,5,Calgary Flames,4,,,,
1991-11-16,Boston Bruins,5,Hartford Whalers,4,OT,,,
1991-11-16,Detroit Red Wings,5,Los Angeles Kings,3,,,,
1991-11-16,Philadelphia Flyers,3,Montreal Canadiens,1,,,,
1991-11-16,Winnipeg Jets,1,New Jersey Devils,0,,,,
1991-11-16,New York Rangers,2,New York Islanders,4,,,,
1991-11-16,Edmonton Oilers,6,Quebec Nordiques,2,,,,
1991-11-16,Minnesota North Stars,3,St. Louis Blues,5,,,,
1991-11-16,Chicago Blackhawks,2,Toronto Maple Leafs,2,OT,,,
1991-11-16,San Jose Sharks,0,Vancouver Canucks,1,,,,
1991-11-17,St. Louis Blues,1,Chicago Blackhawks,5,,,,
1991-11-17,Winnipeg Jets,2,Philadelphia Flyers,1,,,,
1991-11-17,Hartford Whalers,3,Toronto Maple Leafs,1,,,,
1991-11-18,Edmonton Oilers,0,Montreal Canadiens,1,,,,
1991-11-18,Pittsburgh Penguins,7,Quebec Nordiques,3,,,,
1991-11-19,Chicago Blackhawks,1,Detroit Red Wings,4,,,,
1991-11-19,New York Islanders,7,Minnesota North Stars,4,,,,
1991-11-19,Los Angeles Kings,3,San Jose Sharks,2,OT,,,
1991-11-19,New York Rangers,4,Vancouver Canucks,3,,,,
1991-11-20,Boston Bruins,1,Buffalo Sabres,3,,,,
1991-11-20,Washington Capitals,5,New Jersey Devils,6,OT,,,
1991-11-20,Philadelphia Flyers,2,Pittsburgh Penguins,5,,,,
1991-11-20,Toronto Maple Leafs,2,St. Louis Blues,5,,,,
1991-11-20,New York Islanders,1,Winnipeg Jets,3,,,,
1991-11-21,Vancouver Canucks,2,Calgary Flames,3,,,,
1991-11-21,New York Rangers,1,Los Angeles Kings,6,,,,
1991-11-21,Montreal Canadiens,2,Quebec Nordiques,5,,,,
1991-11-22,Chicago Blackhawks,0,Buffalo Sabres,2,,,,
1991-11-22,Minnesota North Stars,3,Detroit Red Wings,4,,,,
1991-11-22,Hartford Whalers,2,New Jersey Devils,8,,,,
1991-11-22,Toronto Maple Leafs,3,San Jose Sharks,1,,,,
1991-11-22,Calgary Flames,5,Vancouver Canucks,6,OT,,,
1991-11-22,Boston Bruins,3,Washington Capitals,6,,,,
1991-11-23,Buffalo Sabres,4,Boston Bruins,7,,,,
1991-11-23,Winnipeg Jets,4,Edmonton Oilers,0,,,,
1991-11-23,Washington Capitals,3,Hartford Whalers,2,,,,
1991-11-23,San Jose Sharks,4,Los Angeles Kings,6,,,,
1991-11-23,Detroit Red Wings,2,Minnesota North Stars,2,OT,,,
1991-11-23,Quebec Nordiques,3,Montreal Canadiens,5,,,,
1991-11-23,New Jersey Devils,5,Philadelphia Flyers,5,OT,,,
1991-11-23,New York Islanders,2,Pittsburgh Penguins,2,OT,,,
1991-11-23,New York Rangers,3,St. Louis Blues,0,,,,
1991-11-25,Winnipeg Jets,3,Calgary Flames,3,OT,,,
1991-11-25,Washington Capitals,4,Detroit Red Wings,5,,,,
1991-11-25,Boston Bruins,3,Montreal Canadiens,4,,,,
1991-11-25,Hartford Whalers,2,Quebec Nordiques,5,,,,
1991-11-26,Toronto Maple Leafs,4,Los Angeles Kings,4,OT,,,
1991-11-26,Vancouver Canucks,1,San Jose Sharks,4,,,,
1991-11-27,Quebec Nordiques,4,Buffalo Sabres,4,OT,,,
1991-11-27,Chicago Blackhawks,2,Edmonton Oilers,6,,,,
1991-11-27,Boston Bruins,3,New York Islanders,2,,,,
1991-11-27,Hartford Whalers,7,Philadelphia Flyers,3,,,,
1991-11-27,New Jersey Devils,4,Pittsburgh Penguins,8,,,,
1991-11-27,New York Rangers,2,Winnipeg Jets,3,,,,
1991-11-27,Montreal Canadiens,1,Washington Capitals,3,,,,
1991-11-28,Los Angeles Kings,3,Calgary Flames,5,,,,
1991-11-28,Quebec Nordiques,2,St. Louis Blues,5,,,,
1991-11-29,Montreal Canadiens,4,Boston Bruins,5,OT,,,
1991-11-29,New York Rangers,5,Buffalo Sabres,4,OT,,,
1991-11-29,San Jose Sharks,4,Edmonton Oilers,4,OT,,,
1991-11-29,Toronto Maple Leafs,3,Minnesota North Stars,2,,,,
1991-11-29,Pittsburgh Penguins,9,Philadelphia Flyers,3,,,,
1991-11-29,Chicago Blackhawks,2,Vancouver Canucks,5,,,,
1991-11-29,New York Islanders,3,Washington Capitals,2,,,,
1991-11-30,San Jose Sharks,2,Calgary Flames,1,,,,
1991-11-30,Montreal Canadiens,2,Hartford Whalers,3,,,,
1991-11-30,New Jersey Devils,4,Los Angeles Kings,1,,,,
1991-11-30,Washington Capitals,1,New York Islanders,8,,,,
1991-11-30,Philadelphia Flyers,1,Pittsburgh Penguins,5,,,,
1991-11-30,Buffalo Sabres,3,Quebec Nordiques,4,,,,
1991-11-30,Detroit Red Wings,3,St. Louis Blues,7,,,,
1991-11-30,Minnesota North Stars,4,Toronto Maple Leafs,3,,,,
1991-12-01,Hartford Whalers,4,Boston Bruins,5,,,,
1991-12-01,Vancouver Canucks,0,Edmonton Oilers,7,,,,
1991-12-01,Chicago Blackhawks,2,Winnipeg Jets,3,OT,,,
1991-12-02,Philadelphia Flyers,2,New York Rangers,4,,,,
1991-12-03,Calgary Flames,2,Detroit Red Wings,5,,,,
1991-12-03,Pittsburgh Penguins,3,Edmonton Oilers,5,,,,
1991-12-03,St. Louis Blues,3,Minnesota North Stars,3,OT,,,
1991-12-03,Vancouver Canucks,0,Quebec Nordiques,3,,,,
1991-12-03,Los Angeles Kings,2,San Jose Sharks,3,OT,,,
1991-12-04,Toronto Maple Leafs,3,Hartford Whalers,0,,,,
1991-12-04,St. Louis Blues,2,Minnesota North Stars,5,,,,
1991-12-04,Vancouver Canucks,3,Montreal Canadiens,0,,,,
1991-12-04,Buffalo Sabres,4,Winnipeg Jets,5,,,,
1991-12-05,Quebec Nordiques,2,Boston Bruins,2,OT,,,
1991-12-05,Los Angeles Kings,2,Chicago Blackhawks,6,,,,
