Date,Visitor,G,Home,G,,Att.,LOG,Notes
2003-04-09,Edmonton Oilers,2,Dallas Stars,1,,,,
2003-04-09,Boston Bruins,1,New Jersey Devils,2,,,,
2003-04-09,New York Islanders,3,Ottawa Senators,0,,,,
2003-04-09,Toronto Maple Leafs,5,Philadelphia Flyers,3,,,,
2003-04-10,Minnesota Wild,4,Colorado Avalanche,2,,,,
2003-04-10,Mighty Ducks of Anaheim,2,Detroit Red Wings,1,3OT,,,
2003-04-10,Washington Capitals,3,Tampa Bay Lightning,0,,,,
2003-04-10,St. Louis Blues,6,Vancouver Canucks,0,,,,
2003-04-11,Edmonton Oilers,1,Dallas Stars,6,,,,
2003-04-11,Boston Bruins,2,New Jersey Devils,4,,,,
2003-04-11,Toronto Maple Leafs,1,Philadelphia Flyers,4,,,,
2003-04-12,Minnesota Wild,2,Colorado Avalanche,3,,,,
2003-04-12,Mighty Ducks of Anaheim,3,Detroit Red Wings,2,,,,
2003-04-12,New York Islanders,0,Ottawa Senators,3,,,,
2003-04-12,Washington Capitals,6,Tampa Bay Lightning,3,,,,
2003-04-12,St. Louis Blues,1,Vancouver Canucks,2,,,,
2003-04-13,New Jersey Devils,3,Boston Bruins,0,,,,
2003-04-13,Dallas Stars,2,Edmonton Oilers,3,,,,
2003-04-14,Detroit Red Wings,1,Mighty Ducks of Anaheim,2,,,,
2003-04-14,Colorado Avalanche,3,Minnesota Wild,0,,,,
2003-04-14,Ottawa Senators,3,New York Islanders,2,2OT,,,
2003-04-14,Vancouver Canucks,1,St. Louis Blues,3,,,,
2003-04-14,Philadelphia Flyers,3,Toronto Maple Leafs,4,2OT,,,
2003-04-15,New Jersey Devils,1,Boston Bruins,5,,,,
2003-04-15,Dallas Stars,3,Edmonton Oilers,1,,,,
2003-04-15,Tampa Bay Lightning,4,Washington Capitals,3,OT,,,
2003-04-16,Detroit Red Wings,2,Mighty Ducks of Anaheim,3,OT,,,
2003-04-16,Colorado Avalanche,3,Minnesota Wild,1,,,,
2003-04-16,Ottawa Senators,3,New York Islanders,1,,,,
2003-04-16,Vancouver Canucks,1,St. Louis Blues,4,,,,
2003-04-16,Philadelphia Flyers,3,Toronto Maple Leafs,2,3OT,,,
2003-04-16,Tampa Bay Lightning,3,Washington Capitals,1,,,,
2003-04-17,Edmonton Oilers,2,Dallas Stars,5,,,,
2003-04-17,Boston Bruins,0,New Jersey Devils,3,,,,
2003-04-17,New York Islanders,1,Ottawa Senators,4,,,,
2003-04-18,Washington Capitals,1,Tampa Bay Lightning,2,,,,
2003-04-18,St. Louis Blues,3,Vancouver Canucks,5,,,,
2003-04-19,Minnesota Wild,3,Colorado Avalanche,2,,,,
2003-04-19,Dallas Stars,3,Edmonton Oilers,2,,,,
2003-04-19,Toronto Maple Leafs,1,Philadelphia Flyers,4,,,,
2003-04-20,Vancouver Canucks,4,St. Louis Blues,3,,,,
2003-04-20,Tampa Bay Lightning,2,Washington Capitals,1,3OT,,,
2003-04-21,Colorado Avalanche,2,Minnesota Wild,3,OT,,,
2003-04-21,Philadelphia Flyers,1,Toronto Maple Leafs,2,2OT,,,
2003-04-22,Minnesota Wild,3,Colorado Avalanche,2,OT,,,
2003-04-22,Toronto Maple Leafs,1,Philadelphia Flyers,6,,,,
2003-04-22,St. Louis Blues,1,Vancouver Canucks,4,,,,
2003-04-24,Mighty Ducks of Anaheim,4,Dallas Stars,3,5OT,,,
2003-04-24,Tampa Bay Lightning,0,New Jersey Devils,3,,,,
2003-04-25,Philadelphia Flyers,2,Ottawa Senators,4,,,,
2003-04-25,Minnesota Wild,3,Vancouver Canucks,4,OT,,,
2003-04-26,Mighty Ducks of Anaheim,3,Dallas Stars,2,OT,,,
2003-04-26,Tampa Bay Lightning,2,New Jersey Devils,3,OT,,,
2003-04-27,Philadelphia Flyers,2,Ottawa Senators,0,,,,
2003-04-27,Minnesota Wild,3,Vancouver Canucks,2,,,,
2003-04-28,Dallas Stars,2,Mighty Ducks of Anaheim,1,,,,
2003-04-28,New Jersey Devils,3,Tampa Bay Lightning,4,,,,
2003-04-29,Vancouver Canucks,3,Minnesota Wild,2,,,,
2003-04-29,Ottawa Senators,3,Philadelphia Flyers,2,OT,,,
2003-04-30,Dallas Stars,0,Mighty Ducks of Anaheim,1,,,,
2003-04-30,New Jersey Devils,3,Tampa Bay Lightning,1,,,,
2003-05-01,Ottawa Senators,0,Philadelphia Flyers,1,,,,
2003-05-02,Vancouver Canucks,3,Minnesota Wild,2,OT,,,
2003-05-02,Tampa Bay Lightning,1,New Jersey Devils,2,3OT,,,
