Date,Visitor,G,Home,G,,Att.,LOG,Notes
2008-04-09,Colorado Avalanche,3,Minnesota Wild,2,OT,,,
2008-04-09,New York Rangers,4,New Jersey Devils,1,,,,
2008-04-09,Ottawa Senators,0,Pittsburgh Penguins,4,,,,
2008-04-09,Calgary Flames,3,San Jose Sharks,2,,,,
2008-04-10,Dallas Stars,4,Anaheim Ducks,0,,,,
2008-04-10,Nashville Predators,1,Detroit Red Wings,3,,,,
2008-04-10,Boston Bruins,1,Montreal Canadiens,4,,,,
2008-04-10,Calgary Flames,0,San Jose Sharks,2,,,,
2008-04-11,Colorado Avalanche,2,Minnesota Wild,3,OT,,,
2008-04-11,New York Rangers,2,New Jersey Devils,1,,,,
2008-04-11,Ottawa Senators,3,Pittsburgh Penguins,5,,,,
2008-04-11,Philadelphia Flyers,4,Washington Capitals,5,,,,
2008-04-12,Dallas Stars,5,Anaheim Ducks,2,,,,
2008-04-12,Nashville Predators,2,Detroit Red Wings,4,,,,
2008-04-12,Boston Bruins,2,Montreal Canadiens,3,OT,,,
2008-04-13,Montreal Canadiens,1,Boston Bruins,2,OT,,,
2008-04-13,San Jose Sharks,3,Calgary Flames,4,,,,
2008-04-13,New Jersey Devils,4,New York Rangers,3,OT,,,
2008-04-13,Philadelphia Flyers,2,Washington Capitals,0,,,,
2008-04-14,Minnesota Wild,3,Colorado Avalanche,2,OT,,,
2008-04-14,Detroit Red Wings,3,Nashville Predators,5,,,,
2008-04-14,Pittsburgh Penguins,4,Ottawa Senators,1,,,,
2008-04-15,Montreal Canadiens,1,Boston Bruins,0,,,,
2008-04-15,San Jose Sharks,3,Calgary Flames,2,,,,
2008-04-15,Minnesota Wild,1,Colorado Avalanche,5,,,,
2008-04-15,Anaheim Ducks,4,Dallas Stars,2,,,,
2008-04-15,Washington Capitals,3,Philadelphia Flyers,6,,,,
2008-04-16,Detroit Red Wings,2,Nashville Predators,3,,,,
2008-04-16,New Jersey Devils,3,New York Rangers,5,,,,
2008-04-16,Pittsburgh Penguins,3,Ottawa Senators,1,,,,
2008-04-17,Anaheim Ducks,1,Dallas Stars,3,,,,
2008-04-17,Colorado Avalanche,3,Minnesota Wild,2,,,,
2008-04-17,Boston Bruins,5,Montreal Canadiens,1,,,,
2008-04-17,Washington Capitals,3,Philadelphia Flyers,4,2OT,,,
2008-04-17,Calgary Flames,3,San Jose Sharks,4,,,,
2008-04-18,Dallas Stars,2,Anaheim Ducks,5,,,,
2008-04-18,Nashville Predators,1,Detroit Red Wings,2,OT,,,
2008-04-18,New York Rangers,5,New Jersey Devils,3,,,,
2008-04-19,Montreal Canadiens,4,Boston Bruins,5,,,,
2008-04-19,Minnesota Wild,1,Colorado Avalanche,2,,,,
2008-04-19,Philadelphia Flyers,2,Washington Capitals,3,,,,
2008-04-20,San Jose Sharks,0,Calgary Flames,2,,,,
2008-04-20,Anaheim Ducks,1,Dallas Stars,4,,,,
2008-04-20,Detroit Red Wings,3,Nashville Predators,0,,,,
2008-04-21,Boston Bruins,0,Montreal Canadiens,5,,,,
2008-04-21,Washington Capitals,4,Philadelphia Flyers,2,,,,
2008-04-22,Calgary Flames,3,San Jose Sharks,5,,,,
2008-04-22,Philadelphia Flyers,3,Washington Capitals,2,OT,,,
2008-04-24,Colorado Avalanche,3,Detroit Red Wings,4,,,,
2008-04-24,Philadelphia Flyers,3,Montreal Canadiens,4,OT,,,
2008-04-25,New York Rangers,4,Pittsburgh Penguins,5,,,,
2008-04-25,Dallas Stars,3,San Jose Sharks,2,OT,,,
2008-04-26,Colorado Avalanche,1,Detroit Red Wings,5,,,,
2008-04-26,Philadelphia Flyers,4,Montreal Canadiens,2,,,,
2008-04-27,New York Rangers,0,Pittsburgh Penguins,2,,,,
2008-04-27,Dallas Stars,5,San Jose Sharks,2,,,,
2008-04-28,Montreal Canadiens,2,Philadelphia Flyers,3,,,,
2008-04-29,Detroit Red Wings,4,Colorado Avalanche,3,,,,
2008-04-29,San Jose Sharks,1,Dallas Stars,2,OT,,,
2008-04-29,Pittsburgh Penguins,5,New York Rangers,3,,,,
2008-04-30,San Jose Sharks,2,Dallas Stars,1,,,,
2008-04-30,Montreal Canadiens,2,Philadelphia Flyers,4,,,,
2008-05-01,Detroit Red Wings,8,Colorado Avalanche,2,,,,
2008-05-01,Pittsburgh Penguins,0,New York Rangers,3,,,,
2008-05-02,Dallas Stars,2,San Jose Sharks,3,OT,,,
2008-05-03,Philadelphia Flyers,6,Montreal Canadiens,4,,,,
2008-05-04,San Jose Sharks,1,Dallas Stars,2,4OT,,,
2008-05-04,New York Rangers,2,Pittsburgh Penguins,3,OT,,,
2008-05-08,Dallas Stars,1,Detroit Red Wings,4,,,,
2008-05-09,Philadelphia Flyers,2,Pittsburgh Penguins,4,,,,
2008-05-10,Dallas Stars,1,Detroit Red Wings,2,,,,
2008-05-11,Philadelphia Flyers,2,Pittsburgh Penguins,4,,,,
2008-05-12,Detroit Red Wings,5,Dallas Stars,2,,,,
2008-05-13,Pittsburgh Penguins,4,Philadelphia Flyers,1,,,,
2008-05-14,Detroit Red Wings,1,Dallas Stars,3,,,,
2008-05-15,Pittsburgh Penguins,2,Philadelphia Flyers,4,,,,
2008-05-17,Dallas Stars,2,Detroit Red Wings,1,,,,
2008-05-18,Philadelphia Flyers,0,Pittsburgh Penguins,6,,,,
2008-05-19,Detroit Red Wings,4,Dallas Stars,1,,,,
2008-05-24,Pittsburgh Penguins,0,Detroit Red Wings,4,,,,
2008-05-26,Pittsburgh Penguins,0,Detroit Red Wings,3,,,,
2008-05-28,Detroit Red Wings,2,Pittsburgh Penguins,3,,,,
2008-05-31,Detroit Red Wings,2,Pittsburgh Penguins,1,,,,
2008-06-02,Pittsburgh Penguins,4,Detroit Red Wings,3,3OT,,,
2008-06-04,Detroit Red Wings,3,Pittsburgh Penguins,2,,,,
