Date,Visitor,G,Home,G,,Att.,LOG,Notes
1989-04-05,Buffalo Sabres,6,Boston Bruins,0,,,,
1989-04-05,Vancouver Canucks,4,Calgary Flames,3,OT,,,
1989-04-05,Chicago Blackhawks,2,Detroit Red Wings,3,,,,
1989-04-05,Edmonton Oilers,4,Los Angeles Kings,3,,,,
1989-04-05,Hartford Whalers,2,Montreal Canadiens,6,,,,
1989-04-05,New York Rangers,1,Pittsburgh Penguins,3,,,,
1989-04-05,Minnesota North Stars,3,St. Louis Blues,4,OT,,,
1989-04-05,Philadelphia Flyers,2,Washington Capitals,3,,,,
1989-04-06,Buffalo Sabres,3,Boston Bruins,5,,,,
1989-04-06,Vancouver Canucks,2,Calgary Flames,5,,,,
1989-04-06,Chicago Blackhawks,5,Detroit Red Wings,4,OT,,,
1989-04-06,Edmonton Oilers,2,Los Angeles Kings,5,,,,
1989-04-06,Hartford Whalers,2,Montreal Canadiens,3,,,,
1989-04-06,New York Rangers,4,Pittsburgh Penguins,7,,,,
1989-04-06,Minnesota North Stars,3,St. Louis Blues,4,OT,,,
1989-04-06,Philadelphia Flyers,3,Washington Capitals,2,,,,
1989-04-08,Boston Bruins,4,Buffalo Sabres,2,,,,
1989-04-08,Detroit Red Wings,2,Chicago Blackhawks,4,,,,
1989-04-08,Los Angeles Kings,0,Edmonton Oilers,4,,,,
1989-04-08,Montreal Canadiens,5,Hartford Whalers,4,OT,,,
1989-04-08,St. Louis Blues,5,Minnesota North Stars,3,,,,
1989-04-08,Pittsburgh Penguins,5,New York Rangers,3,,,,
1989-04-08,Washington Capitals,4,Philadelphia Flyers,3,OT,,,
1989-04-08,Calgary Flames,4,Vancouver Canucks,0,,,,
1989-04-09,Boston Bruins,3,Buffalo Sabres,2,,,,
1989-04-09,Detroit Red Wings,2,Chicago Blackhawks,3,,,,
1989-04-09,Los Angeles Kings,3,Edmonton Oilers,4,,,,
1989-04-09,Montreal Canadiens,4,Hartford Whalers,3,OT,,,
1989-04-09,St. Louis Blues,4,Minnesota North Stars,5,,,,
1989-04-09,Pittsburgh Penguins,4,New York Rangers,3,,,,
1989-04-09,Washington Capitals,2,Philadelphia Flyers,5,,,,
1989-04-09,Calgary Flames,3,Vancouver Canucks,5,,,,
1989-04-11,Buffalo Sabres,1,Boston Bruins,4,,,,
1989-04-11,Vancouver Canucks,0,Calgary Flames,4,,,,
1989-04-11,Chicago Blackhawks,4,Detroit Red Wings,6,,,,
1989-04-11,Edmonton Oilers,2,Los Angeles Kings,4,,,,
1989-04-11,Minnesota North Stars,1,St. Louis Blues,6,,,,
1989-04-11,Philadelphia Flyers,8,Washington Capitals,5,,,,
1989-04-13,Detroit Red Wings,1,Chicago Blackhawks,7,,,,
1989-04-13,Los Angeles Kings,4,Edmonton Oilers,1,,,,
1989-04-13,Washington Capitals,3,Philadelphia Flyers,4,,,,
1989-04-13,Calgary Flames,3,Vancouver Canucks,6,,,,
1989-04-15,Vancouver Canucks,3,Calgary Flames,4,OT,,,
1989-04-15,Edmonton Oilers,3,Los Angeles Kings,6,,,,
1989-04-17,Boston Bruins,2,Montreal Canadiens,3,,,,
1989-04-17,Philadelphia Flyers,3,Pittsburgh Penguins,4,,,,
1989-04-18,Los Angeles Kings,3,Calgary Flames,4,OT,,,
1989-04-18,Chicago Blackhawks,3,St. Louis Blues,1,,,,
1989-04-19,Boston Bruins,2,Montreal Canadiens,3,OT,,,
1989-04-19,Philadelphia Flyers,4,Pittsburgh Penguins,2,,,,
1989-04-20,Los Angeles Kings,3,Calgary Flames,8,,,,
1989-04-20,Chicago Blackhawks,4,St. Louis Blues,5,2OT,,,
1989-04-21,Montreal Canadiens,5,Boston Bruins,4,,,,
1989-04-21,Pittsburgh Penguins,4,Philadelphia Flyers,3,OT,,,
1989-04-22,St. Louis Blues,2,Chicago Blackhawks,5,,,,
1989-04-22,Calgary Flames,5,Los Angeles Kings,2,,,,
1989-04-23,Montreal Canadiens,2,Boston Bruins,3,,,,
1989-04-23,Pittsburgh Penguins,1,Philadelphia Flyers,4,,,,
1989-04-24,St. Louis Blues,2,Chicago Blackhawks,3,,,,
1989-04-24,Calgary Flames,5,Los Angeles Kings,3,,,,
1989-04-25,Boston Bruins,2,Montreal Canadiens,3,,,,
1989-04-25,Philadelphia Flyers,7,Pittsburgh Penguins,10,,,,
1989-04-26,Chicago Blackhawks,4,St. Louis Blues,2,,,,
1989-04-27,Pittsburgh Penguins,2,Philadelphia Flyers,6,,,,
1989-04-29,Philadelphia Flyers,4,Pittsburgh Penguins,1,,,,
1989-05-01,Philadelphia Flyers,3,Montreal Canadiens,1,,,,
1989-05-02,Chicago Blackhawks,0,Calgary Flames,3,,,,
1989-05-03,Philadelphia Flyers,0,Montreal Canadiens,3,,,,
1989-05-04,Chicago Blackhawks,4,Calgary Flames,2,,,,
1989-05-05,Montreal Canadiens,5,Philadelphia Flyers,1,,,,
1989-05-06,Calgary Flames,5,Chicago Blackhawks,2,,,,
1989-05-07,Montreal Canadiens,3,Philadelphia Flyers,0,,,,
1989-05-08,Calgary Flames,2,Chicago Blackhawks,1,OT,,,
1989-05-09,Philadelphia Flyers,2,Montreal Canadiens,1,OT,,,
1989-05-10,Chicago Blackhawks,1,Calgary Flames,3,,,,
1989-05-11,Montreal Canadiens,4,Philadelphia Flyers,2,,,,
1989-05-14,Montreal Canadiens,2,Calgary Flames,3,,,,
1989-05-17,Montreal Canadiens,4,Calgary Flames,2,,,,
1989-05-19,Calgary Flames,3,Montreal Canadiens,4,2OT,,,
1989-05-21,Calgary Flames,4,Montreal Canadiens,2,,,,
1989-05-23,Montreal Canadiens,2,Calgary Flames,3,,,,
1989-05-25,Calgary Flames,4,Montreal Canadiens,2,,,,
