Date,Visitor,G,Home,G,,Att.,LOG,Notes
1993-04-18,Buffalo Sabres,5,Boston Bruins,4,OT,,,
1993-04-18,Los Angeles Kings,6,Calgary Flames,3,,,,
1993-04-18,St. Louis Blues,4,Chicago Blackhawks,3,,,,
1993-04-18,New Jersey Devils,3,Pittsburgh Penguins,6,,,,
1993-04-18,Montreal Canadiens,2,Quebec Nordiques,3,OT,,,
1993-04-18,New York Islanders,1,Washington Capitals,3,,,,
1993-04-19,Toronto Maple Leafs,3,Detroit Red Wings,6,,,,
1993-04-19,Winnipeg Jets,2,Vancouver Canucks,4,,,,
1993-04-20,Buffalo Sabres,4,Boston Bruins,0,,,,
1993-04-20,New Jersey Devils,0,Pittsburgh Penguins,7,,,,
1993-04-20,Montreal Canadiens,1,Quebec Nordiques,4,,,,
1993-04-20,New York Islanders,5,Washington Capitals,4,2OT,,,
1993-04-21,Los Angeles Kings,4,Calgary Flames,9,,,,
1993-04-21,St. Louis Blues,2,Chicago Blackhawks,0,,,,
1993-04-21,Toronto Maple Leafs,2,Detroit Red Wings,6,,,,
1993-04-21,Winnipeg Jets,2,Vancouver Canucks,3,,,,
1993-04-22,Boston Bruins,3,Buffalo Sabres,4,OT,,,
1993-04-22,Quebec Nordiques,1,Montreal Canadiens,2,OT,,,
1993-04-22,Pittsburgh Penguins,4,New Jersey Devils,3,,,,
1993-04-22,Washington Capitals,3,New York Islanders,4,OT,,,
1993-04-23,Calgary Flames,5,Los Angeles Kings,2,,,,
1993-04-23,Chicago Blackhawks,0,St. Louis Blues,3,,,,
1993-04-23,Detroit Red Wings,2,Toronto Maple Leafs,4,,,,
1993-04-23,Vancouver Canucks,4,Winnipeg Jets,5,,,,
1993-04-24,Boston Bruins,5,Buffalo Sabres,6,OT,,,
1993-04-24,Quebec Nordiques,2,Montreal Canadiens,3,,,,
1993-04-24,Washington Capitals,3,New York Islanders,4,2OT,,,
1993-04-25,Calgary Flames,1,Los Angeles Kings,3,,,,
1993-04-25,Pittsburgh Penguins,1,New Jersey Devils,4,,,,
1993-04-25,Chicago Blackhawks,3,St. Louis Blues,4,OT,,,
1993-04-25,Detroit Red Wings,2,Toronto Maple Leafs,3,,,,
1993-04-25,Vancouver Canucks,3,Winnipeg Jets,1,,,,
1993-04-26,New Jersey Devils,3,Pittsburgh Penguins,5,,,,
1993-04-26,Montreal Canadiens,5,Quebec Nordiques,4,OT,,,
1993-04-26,New York Islanders,4,Washington Capitals,6,,,,
1993-04-27,Los Angeles Kings,9,Calgary Flames,4,,,,
1993-04-27,Toronto Maple Leafs,5,Detroit Red Wings,4,OT,,,
1993-04-27,Winnipeg Jets,4,Vancouver Canucks,3,OT,,,
1993-04-28,Quebec Nordiques,2,Montreal Canadiens,6,,,,
1993-04-28,Washington Capitals,3,New York Islanders,5,,,,
1993-04-29,Calgary Flames,6,Los Angeles Kings,9,,,,
1993-04-29,Detroit Red Wings,7,Toronto Maple Leafs,3,,,,
1993-04-29,Vancouver Canucks,4,Winnipeg Jets,3,OT,,,
1993-05-01,Toronto Maple Leafs,4,Detroit Red Wings,3,OT,,,
1993-05-02,Buffalo Sabres,3,Montreal Canadiens,4,,,,
1993-05-02,New York Islanders,3,Pittsburgh Penguins,2,,,,
1993-05-02,Los Angeles Kings,2,Vancouver Canucks,5,,,,
1993-05-03,St. Louis Blues,1,Toronto Maple Leafs,2,2OT,,,
1993-05-04,Buffalo Sabres,3,Montreal Canadiens,4,OT,,,
1993-05-04,New York Islanders,0,Pittsburgh Penguins,3,,,,
1993-05-05,St. Louis Blues,2,Toronto Maple Leafs,1,2OT,,,
1993-05-05,Los Angeles Kings,6,Vancouver Canucks,3,,,,
1993-05-06,Montreal Canadiens,4,Buffalo Sabres,3,OT,,,
1993-05-06,Pittsburgh Penguins,3,New York Islanders,1,,,,
1993-05-07,Vancouver Canucks,4,Los Angeles Kings,7,,,,
1993-05-07,Toronto Maple Leafs,3,St. Louis Blues,4,,,,
1993-05-08,Montreal Canadiens,4,Buffalo Sabres,3,OT,,,
1993-05-08,Pittsburgh Penguins,5,New York Islanders,6,,,,
1993-05-09,Vancouver Canucks,7,Los Angeles Kings,2,,,,
1993-05-09,Toronto Maple Leafs,4,St. Louis Blues,1,,,,
1993-05-10,New York Islanders,3,Pittsburgh Penguins,6,,,,
1993-05-11,St. Louis Blues,1,Toronto Maple Leafs,5,,,,
1993-05-11,Los Angeles Kings,4,Vancouver Canucks,3,2OT,,,
1993-05-12,Pittsburgh Penguins,5,New York Islanders,7,,,,
1993-05-13,Vancouver Canucks,3,Los Angeles Kings,5,,,,
1993-05-13,Toronto Maple Leafs,1,St. Louis Blues,2,,,,
1993-05-14,New York Islanders,4,Pittsburgh Penguins,3,OT,,,
1993-05-15,St. Louis Blues,0,Toronto Maple Leafs,6,,,,
1993-05-16,New York Islanders,1,Montreal Canadiens,4,,,,
1993-05-17,Los Angeles Kings,1,Toronto Maple Leafs,4,,,,
1993-05-18,New York Islanders,3,Montreal Canadiens,4,2OT,,,
1993-05-19,Los Angeles Kings,3,Toronto Maple Leafs,2,,,,
1993-05-20,Montreal Canadiens,2,New York Islanders,1,OT,,,
1993-05-21,Toronto Maple Leafs,2,Los Angeles Kings,4,,,,
1993-05-22,Montreal Canadiens,1,New York Islanders,4,,,,
1993-05-23,Toronto Maple Leafs,4,Los Angeles Kings,2,,,,
1993-05-24,New York Islanders,2,Montreal Canadiens,5,,,,
1993-05-25,Los Angeles Kings,2,Toronto Maple Leafs,3,OT,,,
1993-05-27,Toronto Maple Leafs,4,Los Angeles Kings,5,OT,,,
1993-05-29,Los Angeles Kings,5,Toronto Maple Leafs,4,,,,
1993-06-01,Los Angeles Kings,4,Montreal Canadiens,1,,,,
1993-06-03,Los Angeles Kings,2,Montreal Canadiens,3,OT,,,
1993-06-05,Montreal Canadiens,4,Los Angeles Kings,3,OT,,,
1993-06-07,Montreal Canadiens,3,Los Angeles Kings,2,OT,,,
1993-06-09,Los Angeles Kings,1,Montreal Canadiens,4,,,,
