Date,Visitor,G,Home,G,,Att.,LOG,Notes
1987-10-08,Washington Capitals,3,Boston Bruins,4,,,,
1987-10-08,Minnesota North Stars,2,Buffalo Sabres,2,OT,,,
1987-10-08,Detroit Red Wings,1,Calgary Flames,5,,,,
1987-10-08,Toronto Maple Leafs,7,Chicago Blackhawks,5,,,,
1987-10-08,Quebec Nordiques,5,Hartford Whalers,1,,,,
1987-10-08,New York Islanders,4,Los Angeles Kings,1,,,,
1987-10-08,Pittsburgh Penguins,4,New York Rangers,4,OT,,,
1987-10-08,Montreal Canadiens,2,Philadelphia Flyers,2,OT,,,
1987-10-08,St. Louis Blues,2,Vancouver Canucks,8,,,,
1987-10-09,Detroit Red Wings,4,Edmonton Oilers,1,,,,
1987-10-09,Pittsburgh Penguins,3,New Jersey Devils,6,,,,
1987-10-10,Winnipeg Jets,5,Calgary Flames,1,,,,
1987-10-10,New York Rangers,6,Hartford Whalers,2,,,,
1987-10-10,St. Louis Blues,2,Los Angeles Kings,4,,,,
1987-10-10,Philadelphia Flyers,5,Minnesota North Stars,4,,,,
1987-10-10,Buffalo Sabres,3,Montreal Canadiens,6,,,,
1987-10-10,Boston Bruins,5,Quebec Nordiques,6,OT,,,
1987-10-10,New Jersey Devils,2,Toronto Maple Leafs,5,,,,
1987-10-10,New York Islanders,7,Vancouver Canucks,1,,,,
1987-10-10,Chicago Blackhawks,4,Washington Capitals,6,,,,
1987-10-11,Hartford Whalers,2,Boston Bruins,5,,,,
1987-10-11,Washington Capitals,5,Buffalo Sabres,6,,,,
1987-10-11,Philadelphia Flyers,3,Chicago Blackhawks,5,,,,
1987-10-11,Edmonton Oilers,9,Los Angeles Kings,2,,,,
1987-10-12,Quebec Nordiques,5,Montreal Canadiens,2,,,,
1987-10-12,Minnesota North Stars,2,New York Rangers,4,,,,
1987-10-12,Detroit Red Wings,3,Vancouver Canucks,2,,,,
1987-10-12,Calgary Flames,2,Winnipeg Jets,3,,,,
1987-10-13,Buffalo Sabres,3,Pittsburgh Penguins,8,,,,
1987-10-14,St. Louis Blues,3,Chicago Blackhawks,5,,,,
1987-10-14,Calgary Flames,5,Edmonton Oilers,4,,,,
1987-10-14,Toronto Maple Leafs,3,Minnesota North Stars,4,,,,
1987-10-14,Hartford Whalers,1,New Jersey Devils,3,,,,
1987-10-15,Boston Bruins,3,Los Angeles Kings,2,,,,
1987-10-15,New York Islanders,6,Philadelphia Flyers,0,,,,
1987-10-15,New York Rangers,6,Pittsburgh Penguins,6,OT,,,
1987-10-16,Quebec Nordiques,2,Buffalo Sabres,2,OT,,,
1987-10-16,Edmonton Oilers,5,Calgary Flames,2,,,,
1987-10-16,Toronto Maple Leafs,2,Detroit Red Wings,3,,,,
1987-10-16,Montreal Canadiens,3,New Jersey Devils,4,,,,
1987-10-16,Hartford Whalers,2,Washington Capitals,6,,,,
1987-10-17,Boston Bruins,3,Edmonton Oilers,4,,,,
1987-10-17,New Jersey Devils,3,Hartford Whalers,4,OT,,,
1987-10-17,Winnipeg Jets,5,Minnesota North Stars,2,,,,
1987-10-17,Pittsburgh Penguins,2,Montreal Canadiens,3,,,,
1987-10-17,Philadelphia Flyers,4,New York Islanders,3,,,,
1987-10-17,Buffalo Sabres,6,Quebec Nordiques,3,,,,
1987-10-17,Chicago Blackhawks,3,St. Louis Blues,2,,,,
1987-10-17,Detroit Red Wings,4,Toronto Maple Leafs,7,,,,
1987-10-17,New York Rangers,3,Washington Capitals,4,,,,
1987-10-18,Boston Bruins,6,Calgary Flames,5,OT,,,
1987-10-18,Winnipeg Jets,4,Chicago Blackhawks,6,,,,
1987-10-18,Vancouver Canucks,4,Los Angeles Kings,2,,,,
1987-10-18,Pittsburgh Penguins,2,Philadelphia Flyers,3,,,,
1987-10-19,Minnesota North Stars,1,Montreal Canadiens,5,,,,
1987-10-19,Washington Capitals,4,New York Rangers,2,,,,
1987-10-20,Calgary Flames,4,New York Islanders,5,,,,
1987-10-20,Winnipeg Jets,2,St. Louis Blues,6,,,,
1987-10-21,Hartford Whalers,5,Buffalo Sabres,3,,,,
1987-10-21,Chicago Blackhawks,5,Detroit Red Wings,1,,,,
1987-10-21,Los Angeles Kings,2,Edmonton Oilers,6,,,,
1987-10-21,Calgary Flames,5,New York Rangers,4,,,,
1987-10-21,New Jersey Devils,5,Pittsburgh Penguins,4,,,,
1987-10-21,Montreal Canadiens,10,Toronto Maple Leafs,3,,,,
1987-10-21,Boston Bruins,5,Vancouver Canucks,4,,,,
1987-10-22,Washington Capitals,4,Philadelphia Flyers,1,,,,
1987-10-22,Minnesota North Stars,5,Quebec Nordiques,3,,,,
1987-10-23,Montreal Canadiens,3,Buffalo Sabres,5,,,,
1987-10-23,Pittsburgh Penguins,2,Detroit Red Wings,5,,,,
1987-10-23,New York Islanders,3,New Jersey Devils,5,,,,
1987-10-23,Chicago Blackhawks,3,New York Rangers,7,,,,
1987-10-23,Edmonton Oilers,5,Vancouver Canucks,4,OT,,,
1987-10-23,Los Angeles Kings,3,Winnipeg Jets,4,,,,
1987-10-24,Vancouver Canucks,5,Edmonton Oilers,9,,,,
1987-10-24,Chicago Blackhawks,3,Hartford Whalers,5,,,,
1987-10-24,New Jersey Devils,1,New York Islanders,2,,,,
1987-10-24,New York Rangers,5,Philadelphia Flyers,3,,,,
1987-10-24,Buffalo Sabres,3,Pittsburgh Penguins,5,,,,
1987-10-24,Calgary Flames,7,Quebec Nordiques,5,,,,
1987-10-24,Boston Bruins,0,St. Louis Blues,4,,,,
1987-10-24,Minnesota North Stars,7,Toronto Maple Leafs,4,,,,
1987-10-24,Montreal Canadiens,3,Washington Capitals,2,,,,
1987-10-25,Los Angeles Kings,2,Winnipeg Jets,1,,,,
1987-10-26,Calgary Flames,5,Montreal Canadiens,3,,,,
1987-10-26,Philadelphia Flyers,2,New York Rangers,2,OT,,,
1987-10-27,Philadelphia Flyers,0,New Jersey Devils,4,,,,
1987-10-27,Chicago Blackhawks,4,New York Islanders,4,OT,,,
1987-10-27,Los Angeles Kings,4,Pittsburgh Penguins,4,OT,,,
1987-10-27,Edmonton Oilers,0,Quebec Nordiques,5,,,,
1987-10-27,Minnesota North Stars,5,St. Louis Blues,3,,,,
1987-10-27,Washington Capitals,3,Vancouver Canucks,2,,,,
1987-10-28,Buffalo Sabres,2,Hartford Whalers,2,OT,,,
1987-10-28,Edmonton Oilers,1,Montreal Canadiens,3,,,,
1987-10-28,Los Angeles Kings,4,New York Rangers,3,,,,
1987-10-28,New York Islanders,2,Toronto Maple Leafs,5,,,,
1987-10-28,Detroit Red Wings,5,Winnipeg Jets,1,,,,
1987-10-29,Quebec Nordiques,4,Boston Bruins,2,,,,
1987-10-29,St. Louis Blues,3,Minnesota North Stars,2,,,,
1987-10-29,Toronto Maple Leafs,4,Pittsburgh Penguins,0,,,,
1987-10-30,Los Angeles Kings,1,Buffalo Sabres,5,,,,
1987-10-30,Montreal Canadiens,5,Detroit Red Wings,4,,,,
1987-10-30,Calgary Flames,3,Vancouver Canucks,3,OT,,,
1987-10-30,Washington Capitals,2,Winnipeg Jets,3,OT,,,
1987-10-31,Philadelphia Flyers,4,Hartford Whalers,7,,,,
1987-10-31,Washington Capitals,3,Minnesota North Stars,3,OT,,,
1987-10-31,Boston Bruins,3,Montreal Canadiens,3,OT,,,
1987-10-31,Edmonton Oilers,5,New Jersey Devils,6,,,,
1987-10-31,New York Rangers,2,New York Islanders,8,,,,
1987-10-31,Pittsburgh Penguins,5,Quebec Nordiques,4,OT,,,
1987-10-31,Detroit Red Wings,3,St. Louis Blues,3,OT,,,
1987-10-31,Chicago Blackhawks,5,Toronto Maple Leafs,6,,,,
1987-11-01,New York Islanders,6,Boston Bruins,5,OT,,,
1987-11-01,Chicago Blackhawks,3,Buffalo Sabres,5,,,,
1987-11-01,Edmonton Oilers,7,New York Rangers,6,,,,
1987-11-01,Los Angeles Kings,1,Philadelphia Flyers,4,,,,
