Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-10-12,St. Louis Blues,,Chicago Blackhawks,,,,,
2016-10-12,Calgary Flames,,Edmonton Oilers,,,,,
2016-10-12,Toronto Maple Leafs,,Ottawa Senators,,,,,
2016-10-12,Los Angeles Kings,,San Jose Sharks,,,,,
2016-10-13,Montreal Canadiens,,Buffalo Sabres,,,,,
2016-10-13,Boston Bruins,,Columbus Blue Jackets,,,,,
2016-10-13,Anaheim Ducks,,Dallas Stars,,,,,
2016-10-13,New Jersey Devils,,Florida Panthers,,,,,
2016-10-13,New York Islanders,,New York Rangers,,,,,
2016-10-13,Washington Capitals,,Pittsburgh Penguins,,,,,
2016-10-13,Minnesota Wild,,St. Louis Blues,,,,,
2016-10-13,Detroit Red Wings,,Tampa Bay Lightning,,,,,
2016-10-13,Carolina Hurricanes,,Winnipeg Jets,,,,,
2016-10-14,Edmonton Oilers,,Calgary Flames,,,,,
2016-10-14,Philadelphia Flyers,,Los Angeles Kings,,,,,
2016-10-14,Chicago Blackhawks,,Nashville Predators,,,,,
2016-10-15,Philadelphia Flyers,,Arizona Coyotes,,,,,
2016-10-15,San Jose Sharks,,Columbus Blue Jackets,,,,,
2016-10-15,Nashville Predators,,Chicago Blackhawks,,,,,
2016-10-15,Dallas Stars,,Colorado Avalanche,,,,,
2016-10-15,Detroit Red Wings,,Florida Panthers,,,,,
2016-10-15,Winnipeg Jets,,Minnesota Wild,,,,,
2016-10-15,Montreal Canadiens,,Ottawa Senators,,,,,
2016-10-15,Anaheim Ducks,,Pittsburgh Penguins,,,,,
2016-10-15,New York Rangers,,St. Louis Blues,,,,,
2016-10-15,New Jersey Devils,,Tampa Bay Lightning,,,,,
2016-10-15,Boston Bruins,,Toronto Maple Leafs,,,,,
2016-10-15,Calgary Flames,,Vancouver Canucks,,,,,
2016-10-15,New York Islanders,,Washington Capitals,,,,,
2016-10-16,Buffalo Sabres,,Edmonton Oilers,,,,,
2016-10-16,Anaheim Ducks,,New York Islanders,,,,,
2016-10-16,Carolina Hurricanes,,Vancouver Canucks,,,,,
2016-10-17,Ottawa Senators,,Detroit Red Wings,,,,,
2016-10-17,San Jose Sharks,,New York Rangers,,,,,
2016-10-17,Colorado Avalanche,,Pittsburgh Penguins,,,,,
2016-10-17,Boston Bruins,,Winnipeg Jets,,,,,
2016-10-18,Buffalo Sabres,,Calgary Flames,,,,,
2016-10-18,Philadelphia Flyers,,Chicago Blackhawks,,,,,
2016-10-18,Carolina Hurricanes,,Edmonton Oilers,,,,,
2016-10-18,Los Angeles Kings,,Minnesota Wild,,,,,
2016-10-18,Pittsburgh Penguins,,Montreal Canadiens,,,,,
2016-10-18,Anaheim Ducks,,New Jersey Devils,,,,,
2016-10-18,Dallas Stars,,Nashville Predators,,,,,
2016-10-18,San Jose Sharks,,New York Islanders,,,,,
2016-10-18,Arizona Coyotes,,Ottawa Senators,,,,,
2016-10-18,Florida Panthers,,Tampa Bay Lightning,,,,,
2016-10-18,St. Louis Blues,,Vancouver Canucks,,,,,
2016-10-18,Colorado Avalanche,,Washington Capitals,,,,,
2016-10-19,Detroit Red Wings,,New York Rangers,,,,,
2016-10-19,Toronto Maple Leafs,,Winnipeg Jets,,,,,
2016-10-20,New Jersey Devils,,Boston Bruins,,,,,
2016-10-20,Carolina Hurricanes,,Calgary Flames,,,,,
2016-10-20,Los Angeles Kings,,Dallas Stars,,,,,
2016-10-20,St. Louis Blues,,Edmonton Oilers,,,,,
2016-10-20,Washington Capitals,,Florida Panthers,,,,,
2016-10-20,Toronto Maple Leafs,,Minnesota Wild,,,,,
2016-10-20,Arizona Coyotes,,Montreal Canadiens,,,,,
2016-10-20,Anaheim Ducks,,Philadelphia Flyers,,,,,
2016-10-20,San Jose Sharks,,Pittsburgh Penguins,,,,,
2016-10-20,Colorado Avalanche,,Tampa Bay Lightning,,,,,
2016-10-20,Buffalo Sabres,,Vancouver Canucks,,,,,
2016-10-21,Chicago Blackhawks,,Columbus Blue Jackets,,,,,
2016-10-21,Nashville Predators,,Detroit Red Wings,,,,,
2016-10-21,Arizona Coyotes,,New York Islanders,,,,,
2016-10-22,Montreal Canadiens,,Boston Bruins,,,,,
2016-10-22,St. Louis Blues,,Calgary Flames,,,,,
2016-10-22,Toronto Maple Leafs,,Chicago Blackhawks,,,,,
2016-10-22,Columbus Blue Jackets,,Dallas Stars,,,,,
2016-10-22,San Jose Sharks,,Detroit Red Wings,,,,,
2016-10-22,Colorado Avalanche,,Florida Panthers,,,,,
2016-10-22,Vancouver Canucks,,Los Angeles Kings,,,,,
2016-10-22,Minnesota Wild,,New Jersey Devils,,,,,
2016-10-22,Pittsburgh Penguins,,Nashville Predators,,,,,
2016-10-22,Tampa Bay Lightning,,Ottawa Senators,,,,,
2016-10-22,Carolina Hurricanes,,Philadelphia Flyers,,,,,
2016-10-22,New York Rangers,,Washington Capitals,,,,,
2016-10-23,Vancouver Canucks,,Anaheim Ducks,,,,,
2016-10-23,Minnesota Wild,,New York Islanders,,,,,
2016-10-23,Arizona Coyotes,,New York Rangers,,,,,
2016-10-23,Edmonton Oilers,,Winnipeg Jets,,,,,
2016-10-24,Calgary Flames,,Chicago Blackhawks,,,,,
2016-10-24,Philadelphia Flyers,,Montreal Canadiens,,,,,
2016-10-25,Minnesota Wild,,Boston Bruins,,,,,
2016-10-25,Winnipeg Jets,,Dallas Stars,,,,,
2016-10-25,Carolina Hurricanes,,Detroit Red Wings,,,,,
2016-10-25,Columbus Blue Jackets,,Los Angeles Kings,,,,,
2016-10-25,Arizona Coyotes,,New Jersey Devils,,,,,
2016-10-25,Buffalo Sabres,,Philadelphia Flyers,,,,,
2016-10-25,Florida Panthers,,Pittsburgh Penguins,,,,,
2016-10-25,Anaheim Ducks,,San Jose Sharks,,,,,
2016-10-25,Calgary Flames,,St. Louis Blues,,,,,
2016-10-25,Tampa Bay Lightning,,Toronto Maple Leafs,,,,,
2016-10-25,Ottawa Senators,,Vancouver Canucks,,,,,
2016-10-26,Nashville Predators,,Anaheim Ducks,,,,,
2016-10-26,Washington Capitals,,Edmonton Oilers,,,,,
2016-10-26,Montreal Canadiens,,New York Islanders,,,,,
2016-10-26,Boston Bruins,,New York Rangers,,,,,
2016-10-27,Minnesota Wild,,Buffalo Sabres,,,,,
2016-10-27,Nashville Predators,,Los Angeles Kings,,,,,
2016-10-27,Tampa Bay Lightning,,Montreal Canadiens,,,,,
2016-10-27,Arizona Coyotes,,Philadelphia Flyers,,,,,
2016-10-27,New York Islanders,,Pittsburgh Penguins,,,,,
2016-10-27,Columbus Blue Jackets,,San Jose Sharks,,,,,
2016-10-27,Detroit Red Wings,,St. Louis Blues,,,,,
2016-10-27,Florida Panthers,,Toronto Maple Leafs,,,,,
2016-10-27,Dallas Stars,,Winnipeg Jets,,,,,
2016-10-28,Columbus Blue Jackets,,Anaheim Ducks,,,,,
2016-10-28,New York Rangers,,Carolina Hurricanes,,,,,
2016-10-28,Ottawa Senators,,Calgary Flames,,,,,
2016-10-28,Winnipeg Jets,,Colorado Avalanche,,,,,
2016-10-28,Chicago Blackhawks,,New Jersey Devils,,,,,
2016-10-28,Edmonton Oilers,,Vancouver Canucks,,,,,
