Date,Visitor,G,Home,G,,Att.,LOG,Notes
2000-04-12,Edmonton Oilers,1,Dallas Stars,2,,,,
2000-04-12,San Jose Sharks,3,St. Louis Blues,5,,,,
2000-04-12,Ottawa Senators,0,Toronto Maple Leafs,2,,,,
2000-04-13,Phoenix Coyotes,3,Colorado Avalanche,6,,,,
2000-04-13,Edmonton Oilers,0,Dallas Stars,3,,,,
2000-04-13,Los Angeles Kings,0,Detroit Red Wings,2,,,,
2000-04-13,Florida Panthers,3,New Jersey Devils,4,,,,
2000-04-13,Buffalo Sabres,2,Philadelphia Flyers,3,,,,
2000-04-13,Pittsburgh Penguins,7,Washington Capitals,0,,,,
2000-04-14,Buffalo Sabres,1,Philadelphia Flyers,2,,,,
2000-04-15,Phoenix Coyotes,1,Colorado Avalanche,3,,,,
2000-04-15,Los Angeles Kings,5,Detroit Red Wings,8,,,,
2000-04-15,Washington Capitals,1,Pittsburgh Penguins,2,OT,,,
2000-04-15,San Jose Sharks,4,St. Louis Blues,2,,,,
2000-04-15,Ottawa Senators,1,Toronto Maple Leafs,5,,,,
2000-04-16,Philadelphia Flyers,2,Buffalo Sabres,0,,,,
2000-04-16,Dallas Stars,2,Edmonton Oilers,5,,,,
2000-04-16,Florida Panthers,1,New Jersey Devils,2,,,,
2000-04-17,Detroit Red Wings,2,Los Angeles Kings,1,,,,
2000-04-17,Toronto Maple Leafs,3,Ottawa Senators,4,,,,
2000-04-17,Colorado Avalanche,4,Phoenix Coyotes,2,,,,
2000-04-17,Washington Capitals,3,Pittsburgh Penguins,4,,,,
2000-04-17,St. Louis Blues,1,San Jose Sharks,2,,,,
2000-04-18,Philadelphia Flyers,2,Buffalo Sabres,3,OT,,,
2000-04-18,Dallas Stars,4,Edmonton Oilers,3,,,,
2000-04-18,New Jersey Devils,2,Florida Panthers,1,,,,
2000-04-19,Detroit Red Wings,3,Los Angeles Kings,0,,,,
2000-04-19,Toronto Maple Leafs,1,Ottawa Senators,2,,,,
2000-04-19,Colorado Avalanche,2,Phoenix Coyotes,3,,,,
2000-04-19,St. Louis Blues,2,San Jose Sharks,3,,,,
2000-04-19,Pittsburgh Penguins,2,Washington Capitals,3,,,,
2000-04-20,New Jersey Devils,4,Florida Panthers,1,,,,
2000-04-20,Buffalo Sabres,2,Philadelphia Flyers,5,,,,
2000-04-21,Phoenix Coyotes,1,Colorado Avalanche,2,,,,
2000-04-21,Edmonton Oilers,2,Dallas Stars,3,,,,
2000-04-21,San Jose Sharks,3,St. Louis Blues,5,,,,
2000-04-21,Pittsburgh Penguins,2,Washington Capitals,1,,,,
2000-04-22,Ottawa Senators,1,Toronto Maple Leafs,2,OT,,,
2000-04-23,St. Louis Blues,6,San Jose Sharks,2,,,,
2000-04-24,Toronto Maple Leafs,4,Ottawa Senators,2,,,,
2000-04-25,San Jose Sharks,3,St. Louis Blues,1,,,,
2000-04-27,Detroit Red Wings,0,Colorado Avalanche,2,,,,
2000-04-27,Pittsburgh Penguins,2,Philadelphia Flyers,0,,,,
2000-04-27,New Jersey Devils,1,Toronto Maple Leafs,2,,,,
2000-04-28,San Jose Sharks,0,Dallas Stars,4,,,,
2000-04-29,Detroit Red Wings,1,Colorado Avalanche,3,,,,
2000-04-29,Pittsburgh Penguins,4,Philadelphia Flyers,1,,,,
2000-04-29,New Jersey Devils,1,Toronto Maple Leafs,0,,,,
2000-04-30,San Jose Sharks,0,Dallas Stars,1,,,,
2000-05-01,Colorado Avalanche,1,Detroit Red Wings,3,,,,
2000-05-01,Toronto Maple Leafs,1,New Jersey Devils,5,,,,
2000-05-02,Philadelphia Flyers,4,Pittsburgh Penguins,3,OT,,,
2000-05-02,Dallas Stars,1,San Jose Sharks,2,,,,
2000-05-03,Colorado Avalanche,3,Detroit Red Wings,2,OT,,,
2000-05-03,Toronto Maple Leafs,3,New Jersey Devils,2,,,,
2000-05-04,Philadelphia Flyers,2,Pittsburgh Penguins,1,5OT,,,
2000-05-05,Detroit Red Wings,2,Colorado Avalanche,4,,,,
2000-05-05,Dallas Stars,5,San Jose Sharks,4,,,,
2000-05-06,New Jersey Devils,4,Toronto Maple Leafs,3,,,,
2000-05-07,San Jose Sharks,1,Dallas Stars,4,,,,
2000-05-07,Pittsburgh Penguins,3,Philadelphia Flyers,6,,,,
2000-05-08,Toronto Maple Leafs,0,New Jersey Devils,3,,,,
2000-05-09,Philadelphia Flyers,2,Pittsburgh Penguins,1,,,,
2000-05-13,Colorado Avalanche,2,Dallas Stars,0,,,,
2000-05-14,New Jersey Devils,4,Philadelphia Flyers,1,,,,
2000-05-15,Colorado Avalanche,2,Dallas Stars,3,,,,
2000-05-16,New Jersey Devils,3,Philadelphia Flyers,4,,,,
2000-05-18,Philadelphia Flyers,4,New Jersey Devils,2,,,,
2000-05-19,Dallas Stars,0,Colorado Avalanche,2,,,,
2000-05-20,Philadelphia Flyers,3,New Jersey Devils,1,,,,
2000-05-21,Dallas Stars,4,Colorado Avalanche,1,,,,
2000-05-22,New Jersey Devils,4,Philadelphia Flyers,1,,,,
2000-05-23,Colorado Avalanche,2,Dallas Stars,3,OT,,,
2000-05-24,Philadelphia Flyers,1,New Jersey Devils,2,,,,
2000-05-25,Dallas Stars,1,Colorado Avalanche,2,,,,
2000-05-26,New Jersey Devils,2,Philadelphia Flyers,1,,,,
2000-05-27,Colorado Avalanche,2,Dallas Stars,3,,,,
2000-05-30,Dallas Stars,3,New Jersey Devils,7,,,,
2000-06-01,Dallas Stars,2,New Jersey Devils,1,,,,
2000-06-03,New Jersey Devils,2,Dallas Stars,1,,,,
2000-06-05,New Jersey Devils,3,Dallas Stars,1,,,,
2000-06-08,Dallas Stars,1,New Jersey Devils,0,3OT,,,
2000-06-10,New Jersey Devils,2,Dallas Stars,1,2OT,,,
