Date,Visitor,G,Home,G,,Att.,LOG,Notes
1990-04-04,Los Angeles Kings,5,Calgary Flames,3,,,,
1990-04-04,Minnesota North Stars,2,Chicago Blackhawks,1,,,,
1990-04-04,Winnipeg Jets,7,Edmonton Oilers,5,,,,
1990-04-04,Toronto Maple Leafs,2,St. Louis Blues,4,,,,
1990-04-05,Hartford Whalers,4,Boston Bruins,3,,,,
1990-04-05,Montreal Canadiens,1,Buffalo Sabres,4,,,,
1990-04-05,Washington Capitals,5,New Jersey Devils,4,OT,,,
1990-04-05,New York Islanders,1,New York Rangers,2,,,,
1990-04-06,Los Angeles Kings,5,Calgary Flames,8,,,,
1990-04-06,Minnesota North Stars,3,Chicago Blackhawks,5,,,,
1990-04-06,Winnipeg Jets,2,Edmonton Oilers,3,OT,,,
1990-04-06,Toronto Maple Leafs,2,St. Louis Blues,4,,,,
1990-04-07,Hartford Whalers,1,Boston Bruins,3,,,,
1990-04-07,Montreal Canadiens,3,Buffalo Sabres,0,,,,
1990-04-07,Washington Capitals,5,New Jersey Devils,6,,,,
1990-04-07,New York Islanders,2,New York Rangers,5,,,,
1990-04-08,Calgary Flames,1,Los Angeles Kings,2,OT,,,
1990-04-08,Chicago Blackhawks,2,Minnesota North Stars,1,,,,
1990-04-08,St. Louis Blues,6,Toronto Maple Leafs,5,OT,,,
1990-04-08,Edmonton Oilers,1,Winnipeg Jets,2,,,,
1990-04-09,Boston Bruins,3,Hartford Whalers,5,,,,
1990-04-09,Buffalo Sabres,1,Montreal Canadiens,2,OT,,,
1990-04-09,New York Rangers,3,New York Islanders,4,2OT,,,
1990-04-09,New Jersey Devils,2,Washington Capitals,1,,,,
1990-04-10,Calgary Flames,4,Los Angeles Kings,12,,,,
1990-04-10,Chicago Blackhawks,0,Minnesota North Stars,4,,,,
1990-04-10,St. Louis Blues,2,Toronto Maple Leafs,4,,,,
1990-04-10,Edmonton Oilers,3,Winnipeg Jets,4,2OT,,,
1990-04-11,Boston Bruins,6,Hartford Whalers,5,,,,
1990-04-11,Buffalo Sabres,4,Montreal Canadiens,2,,,,
1990-04-11,New York Rangers,6,New York Islanders,1,,,,
1990-04-11,New Jersey Devils,1,Washington Capitals,3,,,,
1990-04-12,Los Angeles Kings,1,Calgary Flames,5,,,,
1990-04-12,Minnesota North Stars,1,Chicago Blackhawks,5,,,,
1990-04-12,Winnipeg Jets,3,Edmonton Oilers,4,,,,
1990-04-12,Toronto Maple Leafs,3,St. Louis Blues,4,,,,
1990-04-13,Hartford Whalers,2,Boston Bruins,3,,,,
1990-04-13,Montreal Canadiens,4,Buffalo Sabres,2,,,,
1990-04-13,Washington Capitals,4,New Jersey Devils,3,,,,
1990-04-13,New York Islanders,5,New York Rangers,6,,,,
1990-04-14,Calgary Flames,3,Los Angeles Kings,4,2OT,,,
1990-04-14,Chicago Blackhawks,3,Minnesota North Stars,5,,,,
1990-04-14,Edmonton Oilers,4,Winnipeg Jets,3,,,,
1990-04-15,Boston Bruins,2,Hartford Whalers,3,OT,,,
1990-04-15,Buffalo Sabres,2,Montreal Canadiens,5,,,,
1990-04-15,New Jersey Devils,2,Washington Capitals,3,,,,
1990-04-16,Minnesota North Stars,2,Chicago Blackhawks,5,,,,
1990-04-16,Winnipeg Jets,1,Edmonton Oilers,4,,,,
1990-04-17,Hartford Whalers,1,Boston Bruins,3,,,,
1990-04-18,St. Louis Blues,4,Chicago Blackhawks,3,,,,
1990-04-18,Los Angeles Kings,0,Edmonton Oilers,7,,,,
1990-04-19,Montreal Canadiens,0,Boston Bruins,1,,,,
1990-04-19,Washington Capitals,3,New York Rangers,7,,,,
1990-04-20,St. Louis Blues,3,Chicago Blackhawks,5,,,,
1990-04-20,Los Angeles Kings,1,Edmonton Oilers,6,,,,
1990-04-21,Montreal Canadiens,4,Boston Bruins,5,OT,,,
1990-04-21,Washington Capitals,6,New York Rangers,3,,,,
1990-04-22,Edmonton Oilers,5,Los Angeles Kings,4,,,,
1990-04-22,Chicago Blackhawks,4,St. Louis Blues,5,,,,
1990-04-23,Boston Bruins,6,Montreal Canadiens,3,,,,
1990-04-23,New York Rangers,1,Washington Capitals,7,,,,
1990-04-24,Edmonton Oilers,6,Los Angeles Kings,5,OT,,,
1990-04-24,Chicago Blackhawks,3,St. Louis Blues,2,,,,
1990-04-25,Boston Bruins,1,Montreal Canadiens,4,,,,
1990-04-25,New York Rangers,3,Washington Capitals,4,OT,,,
1990-04-26,St. Louis Blues,2,Chicago Blackhawks,3,,,,
1990-04-27,Montreal Canadiens,1,Boston Bruins,3,,,,
1990-04-27,Washington Capitals,2,New York Rangers,1,OT,,,
1990-04-28,Chicago Blackhawks,2,St. Louis Blues,4,,,,
1990-04-30,St. Louis Blues,2,Chicago Blackhawks,8,,,,
1990-05-02,Chicago Blackhawks,2,Edmonton Oilers,5,,,,
1990-05-03,Washington Capitals,3,Boston Bruins,5,,,,
1990-05-04,Chicago Blackhawks,4,Edmonton Oilers,3,,,,
1990-05-05,Washington Capitals,0,Boston Bruins,3,,,,
1990-05-06,Edmonton Oilers,1,Chicago Blackhawks,5,,,,
1990-05-07,Boston Bruins,4,Washington Capitals,1,,,,
1990-05-08,Edmonton Oilers,4,Chicago Blackhawks,2,,,,
1990-05-09,Boston Bruins,3,Washington Capitals,2,,,,
1990-05-10,Chicago Blackhawks,3,Edmonton Oilers,4,,,,
1990-05-12,Edmonton Oilers,8,Chicago Blackhawks,4,,,,
1990-05-15,Edmonton Oilers,3,Boston Bruins,2,3OT,,,
1990-05-18,Edmonton Oilers,7,Boston Bruins,2,,,,
1990-05-20,Boston Bruins,2,Edmonton Oilers,1,,,,
1990-05-22,Boston Bruins,1,Edmonton Oilers,5,,,,
1990-05-24,Edmonton Oilers,4,Boston Bruins,1,,,,
